,fraudulent,requirements
495,f,"minimum requirements: minimum of 6 months customer service related experience required high school diploma or equivalent (ged) required preferred qualifications: keyboarding and windows environment pc skills required (word, excel and powerpoint preferred) experience running mail posting equipment a plus excellent communication skills both verbal and written lifting up to 55 lbs with or without accommodations willingness and availability to work additional hours if assigned willingness to submit to a pre-employment drug screening and criminal background check ability to effectively work individually or in a team environment competency in performing multiple functional tasks ability to meet employer's attendance policy "
6484,t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
17624,t,"**note: you must have the necessary tools for perform any of the above tasks **subject to pass a background check** if you know how to perform winterization in property is a plus. you must have a digital camera with to take photographs supporting work done. we also require the use of email. this work is time sensitive, so a strong work ethic is preferred. **note: please be sure to include your full name, the city where you are located at and phone number and email in order to be considered for the position. if your name, phone , and email are not in the response, your response will be deleted. thanks and we look forward to hearing from you!"
14573,f,"qualifications to perform this job successfully, an individual must be able to perform each essential duty satisfactorily. the requirements listed below are representative of the knowledge, skill, and/or ability required. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. requires ability to operate general warehouse equipment; such as, standup and sit down forklifts, floor scrubber and shrink wrap machine. ability to communicate in a respectful and professional manner with coworkers, truck drivers, management and other departments within the company. requires ability to work under minimal supervision. must be well organized and possess the ability to prioritize and manage multiple tasks, and follow through on assigned tasks. the physical nature of the job requires a worker to possess strength and stamina, and the ability to lift up to 55 lbs. must have strong attention to detail, and accuracy. requires the understanding and willingness to work in a team based work environment. education and/or experience high school diploma or equivalent preferred. one to three years minimum experience in similar position required. computer and inventory skills are required. language skills ability to read and comprehend simple instructions, short correspondence, and memos. ability to write simple correspondence. ability to effectively present information in one-on-one and small group situations to customers, clients, and other employees of the organization. computer skills to perform this job successfully, an individual should have knowledge of microsoft office software (excel, power point, word, etc.), and also experience using an erp operating system (preferably oracle). certificates, licenses, registrations ability to be forklift certified required. physical demands the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. while performing the duties of this job, the employee is regularly required to stand; walk; use hands to finger, handle, or feel; reach with hands and arms; climb or balance; stoop, kneel, crouch, or crawl; and talk or hear. the employee is occasionally required to sit. specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception, and ability to adjust focus. work environment the work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. while performing the duties of this job, the employee is regularly exposed to warm and cold conditions; high, precarious places; airborne particles; outside weather conditions; and risk of electrical shock. the employee is occasionally exposed to extreme cold and extreme heat. the employee is occasionally exposed to vibration."
13969,f,"experience in rapid development strong skills in ruby on rails. additional knowledge of java and python will be needed for smaller parts of the codebase. work collaboratively with multiple teams to build and maintain customer-facing and internal daily secret web properties experience with python (django) and mysql experience developing restful web services experience developing responsive web applications that work well across multiple devices experience with oracle and mysql relational databases experience in mobile application development solid understanding of web application architecture must be a strong communicator with great attention to detail availability for: skype, google hangout conference meetings code review "
7063,f,"bs degree in business administration, engineering, or equivalent with minimum 6 years’ experience or b. tech engineering with minimum 8 +years’ experience or high school diploma with minimum 10+ years’ experience. computer literate, w/ strong command in english, both oral and written. construction experience and/or preferred petrochemical experience and/or oil and gas experience preferred duties and responsibilities: 1. coordinate and work closely with aramco organizations to review procurement requisitions (pr), scope of work (sow) and sole source justification, if and when needed. 2. coordinate with the procurement team to prepare contract requests for quotation (rfq. 3. develop contracts based on aramco policies, specifications and the controlling organization’s needs 4. review and ensure the compliance of contracts with aramco approved table of authority. ensure clarity of scope as well as applicability and completeness of all related documents. 5. participate in opening and reviewing technical and commercial bids in the presence of all concerned personnel and ensure that all evaluation criteria are clearly established and agreed with the appropriate personnel. 6. conduct commercial negotiations w/ prospective bidders secure best-value proposal protect its interests. 7. handle and issue materials and/or equipment ensuring that all related actions are performed with proper documentation and approvals. 8. control and perform all contracting activities including conducting revisions and amendments, resolving contractual claims and disputes and protecting aramco's best interest. 9. provide consultation to all organizations personnel on contracting regulations, procedures guidelines. 10. provide the necessary support to the procurement section to ensure the cost-effective selection of materials, services and suppliers and ensure compliance with all predetermined specifications and aramco requirements. 11. act as the main point of contact for handling contractual activities in coordination with the legal advisor; review and develop contract terms and payment schedules in coordination with the finance department. 12. prepare contracts activity status report identifying the actions that are overdue and provide sound justification for delays and expected time of completion. 13. coordinate with all concerned organizations in aramco to follow-up on contract close-out actions and ensure that all relevant activities of the controlling organization are in compliance with relevant contracting guidelines and instructions. 14. conduct regular contract reviews to ensure the delivery of expected goods and/or services is performed according to agreed terms and conditions by the respective organization at aramco. 15. participate in conducting pre-bidding meetings, negotiations and site visits, and respond to bidders’ questions related to contract conditions and related technical and commercial terms. 16. provide input to contracts awarding process and follow-up on awarded vendor registration forms. 17. submit regular reports to the supervisor contracting. 18. perform other related duties as assigned by the supervisor contracting."
8069,f,"minimum requirements: minimum of 6 months customer service related experience required high school diploma or equivalent (ged) required preferred qualifications: keyboarding and windows environment pc skills required (word, excel and powerpoint preferred) experience running mail posting equipment a plus excellent communication skills both verbal and written lifting up to 55 lbs with or without accommodations willingness and availability to work additional hours if assigned willingness to submit to a pre-employment drug screening and criminal background check ability to effectively work individually or in a team environment competency in performing multiple functional tasks ability to meet employer's attendance policy "
13855,f,nan
7482,t,nan
11507,t,"requirements job qualifications- ability to understand procedures and instructions specific to the area of assignment as would be acquired in four years of high school.- graduation from an accredited instrument technician program and minimum two years’ work experience as a technician in a related industry desirable.- four years work experience as a technician with increasing responsibility in a related industry may be substituted for the above requirement.- experience in working with voltages up to 4160 volts highly desirable.- must have excellent oral and written communication skills. ability to work well with others and be self-directed, as well as apply creative solutions to unique ie problems is desirable.- must be able to work from blueprints.- must be skilled in the use of hand and power driven tools.- must be proficient in computers and computer software such as ms office, excel, and word; networking, hardware, and current security requirements for nerc compliance."
11798,f,"we currently have a requirement for an electronics service engineer to be based in the customer support team in petaling jaya. this is an entry level role where you will carry out corrective and service maintenance on a range of nominated equipment in a professional and customer oriented manner. you will diagnose and repair electronic equipment to a component level and take ownership of product repairs while achieving and maintaining high productivity goals with minimal service warranty repairs. we are looking for people with a passion for electronics engineering along with the ability to demonstrate an understanding of component level electronics repair through work experience and/or university projects. you will also have experience in surface mount soldering and ideally worked with service centre equipment such as oscilloscopes, smt rework equipment and mechanical tools. along with your relevant qualification in electronics you will also be an excellent communicator in both verbal and written english."
1673,f,"solid understanding of the internet and its protocols. (http, websockets) understanding of space time complexity in terms of big-o notation; ability to write efficient code. used or have knowledge of couchdb, mongodb, hadoop or any other nosql/big data platforms. strong understanding of big data concepts; work experience with big data a plus highly efficient in html, css3, and responsive design using frameworks like bootstrap or foundation ability to code javascript using jquery and implement custom plugins/components. proper understanding of mvvm experience in frontend ria, spas (angular, backbone), knockout "
8677,t,"qualifications personal attributes - msc. in engineering or/and business administration- 10 years’ experience from international oil gas or infrastructure industries as lead construction position- 3 years’ experience with handling of contractual issues within engineering and construction projects for offshore and subsea applications- fundamental knowledge of; contract drafting, negotiating, background law, and business norms for aker subsea and aker solutions’ contract standards- basic understanding of erp systems, preferably sap- basic understanding of planning tools, preferably primavera- good communication and leadership skills- good knowledge of the english language- systematic and analytical- high integrity and ethical values- ability to work both operationally and strategically- flexibility on travelling and stationing/rotation required according to the project’s needs"
14710,f,"the ideal candidate exhibits the following qualities: 3+ years experience administering large mysql databases 3+ years experience administering linux servers sql expert, and a good teacher expertise tuning linux for mysql experience benchmarking hardware and capacity planning understanding of the issues surrounding high-traffic websites and scalability experience in amazon web services english language - you should be good inenglish. a cpe certificate will be appreciated. academic qualifications – you have a university degree "
1612,f,"-full time -on site in irving, tx -production support -backups -restores"
14063,f,"sap, excel, pivot tables"
8895,f,nan
12979,f,nan
3730,f,basic computer skills good organizational skills ability to work with little supervision
13190,f,nan
9968,t,"some of the desired skills and experience for this position include, but are not limited to: - ba/bs/undergraduate (degree in communications, english or journalism is preferred) - 4-6 years of experience at pr agencies, in corporate communications or in journalism- excellent writing and verbal communications skills- experience and knowledge of tech pr- strong, established business and trade press and analyst relationships- team-oriented attitude and willingness to pitch in wherever needed- desire to keep learning and advance within the company- creativity and integrity bonus:- experience working internationally- experience working for an advertising technology company"
2484,f,svq level 2 in care (not essential as full training can be given) must be flexible to working shift patterns good communication skills caring nature work well as part of a team 
9417,f,2-3 years sales experience demonstrated aptitude for problem-solving abilityto determine solutions for customers (consultative sales approach) able to workboth independently and within a team environment must possess excellent verbal and written communicationskills proficiency in using microsoft office suite applications and contact management software valid driver's license 
17572,t,nan
10905,f,"essential functions:• assist customers with setup connection of high speed internetservice including installing /uninstalling hardware and related softwareand drivers.• follow-up resolution actions related to technical escalations, pendingunresolved issues and outages• utilize client base tools to provide accurate, consistent, and timelyresponses to customer inquiries• troubleshoot and resolve email setup issues and usage including thirdparty setup and usage.• review and respond to e-mail messages in a professional manner• utilize chat services to respond interactively to troubleshoot, detectand correct customer issues via the internet using proprietarysoftware.• troubleshoot, detect and correct configuration of communicationports, ethernet adapters, pci devices, usb, wireless adapters, natrouters and wireless access points.• ability to convey genuine empathy and handle difficult or agitatedcustomers"
8393,t,"you can work in the morning, afternoon, or at night."
14482,f,"senior level experience with web backends, especially ruby on rails fluid in at least two languages out of java, python, ruby, javascript(node) solid knowledge of data driven design, and tdd experience with event driven design is a plus "
8597,t,nan
3405,f,"valid certification in childhood education, grades 1-6, b-6 or k-2. master's degree is preferred. demonstrated ability to work in a collaborative environment with key stakeholders, including faculty, students, and parents. mission-driven with a genuine commitment to fostering future life opportunities for all students. excellent communication skills, both verbal and written. "
9835,f,"minimum two years of inside sales experience, preferably in a b2b environment excellent written and oral communication skills exceptional ability to establish credibility via electronic mail and the telephone ability to position our offerings, understand our unique selling points, and overcoming objections ability to function as a back-stop for our outside sales representatives ability to work out of our corporate office in washington, dc or falls church, va "
3723,t,"job requirementstechnical requirements: working knowledge of: mapinfo gis, arcgis, smt kingdom suite 2d/3d pak, global mapper, surfer, grapher, terramodel, word, excel, powerpoint, triton, oic, or other equivalent programs.managing internal and external integrated geoscience project teams and interfaces with project engineering leads and direct-reports to client.educated experienced geologist/geophysicist with background and/or hands-on knowledge of:principles of structural geology,principles of salt and salt tectonics,principles of seismic and sequence stratigraphy,principles of single and dynamic fault environments,principles of seismicity and seismic hazards assessments,principles of 2d and 3d geophysical data, loading, interpretation, and analyses,understanding of age-dating techniques,understanding of offshore geohazards,understanding of geographic information systems and application to solving geologic problems,understanding of mapping and map generation,understanding of surveying and survey data,understanding of geodetic datums, projections, and positioning,understanding of basic geotechnical engineering,general understanding of ocean currents and applicability to geologic and engineering studies (i.e. scour, etc).understanding of general offshore geophysical and geotechnical site investigation techniques,understanding of wellsite and pipeline geohazards, reporting, and permitting processes,large desktop studies for regional or local pipeline or field development,basic understanding of quantifying geo-risk to subsea projects.understanding of geologic processes such as slope stability, mass-transport, etc.multi-phased, inter-disciplinary, deepwater field development studies.evolving trends and techniques in deepwater geology, interpretation, and geohazards.experienced with providing reports and presentations to internal or client peer assists on results and relevance to deepwater engineering projects.good public speaking and public interaction skills.able to work both within teams and as self-starter/self-manager.innovative and motivated.msc or ph.d. preferred in geology or geophysics, or, bsc in geology or geophysics with 7-10 years of experience with the following: working knowledge of: mapinfo gis, arcgis, smt kingdom suite 2d/3d pak, global mapper, surfer, grapher, terramodel, word, excel, powerpoint, triton, oic, or other equivalent  "
2913,f,"we're looking for somebody to: deliver a robust operational engine for the business work as the product owner with the development team implement new currencies and payment methods design systems, processes and controls for the rock-solid payments back office liaisewith our partners - banks, regulators, consultants optimise processes for throughput and cost efficiency is this you? at least two years of relevant work experience degree in engineering, finance or related you are interested in financial products, statistics and research excellent english language what will set you apart experience as a financial product designer previous roles as the product lead in agile development teams work experience in banking or payment services "
12446,f,nan
5451,t,all normal requirements in the adminstrative and data entry field but no special or specific requirements needed please apply if you are in the force as well we await your response as to attend to them asap!
14221,t,"solid hands-on experience with creative suite 6 (cs6) adobe illustrator. adobe photoshop. adobe indesign. adobe premier / after effects. a solid understanding of html5, css3, javascript, and jquery. web and print graphic design experience. project planning / time management skills. multimedia content development experience. understanding of browser capabilities/best practices (graceful degradation, etc.) .user interface design experience a plus. "
10689,f,"who are you: technology and internet savvy with the ability to quickly learn about new technologies, complex solutions, and customer use cases. a self-starter who can solve problems creatively and work well with a diverse range of team members, in a cross-functional team environment.specifically marketing, business, design, and engineering. has excellent project- and time-management skills with the ability to multitask and meet deadlines while maintaining a high level of attention to detail. the ability to adapt to change quickly and tackle unfamiliar tasks and requests with enthusiasm and resourcefulness. experience or high interest in working within a startup environment. what will you do: establish and manage brand voice and copy guidelines. continuously edit and improve existing copy on both our marketing website and functional platform. assist in driving our thought leadership and content marketing through all forms of written deliverables including, but not limited to, emails, blog posts, ad copy, product announcements, white papers, case studies, web copy, etc... assist in writing posts for social media such as twitter, facebook, and linkedin. write clear, concise and branded user-interface text for the namely platform. including capability of grasping complex functionality and describing it in an easy-to-understand style. required skills: expert at establishing and maintaining a brand voice across multiple mediums. excellent written and verbal communication skills,including attention to detail of proper grammar and tone. experience with technical/instructional copy (specifically digital) expertise in user-interface text for web products experienced with long-form writing. industry knowledge is a huge plus! "
887,f,basic requirements: good working knowledge ofpython good understanding of databases and tradeoffs around schema design and indexing basic knowledge of unix ability to work in a tight-knit team bonus points: experience of building apis familiarity with amazon web services knowledge and enthusiasm for social media (e.g. active on twitter) some technologies/systems we use: mongodb mysql redisdb aws 
6541,f,"design and develop features for development and deployment systems comfort with with frequent, incremental code testing and deployment. work to continuously improve speed, efficiency and scalability of the full stack strong grasp of automation tools ensure proper monitoring, alerting, capacity planning and reporting in the production environment ability to use a wide variety of open source technologies and tools extensive experience with systems and it operations deep understanding of core server principles and components experience with virtualization technologies experience with public cloud providers such as amazon "
144,t,nan
15989,f,"3 years of experience in field sales specifically growing customer base in one of the following areas: handling equipment, conveyor, drying technology, or process equipment willingness to travel 40-60% ability to read and decipher parts within technical plans, drawings or models excellent communication and negotiation skills educational qualifications: bachelor's degree in engineering or a related technical discipline we provide full time permanent positions for many medium to large us companies. we have more than 1500 jobs available in our website. our website has thousands of openings and these job openings are not posted anywhere else online. when you apply online through our website, it automatically forwards your information to the recruiter handling your applied job. if you are a close match, they will contact you immediately to discuss about the positions and do everything to get you an interview with the client as quickly as possible. visit :  "
1760,f,"desired skills and expertise 1-3 years of experience in marketing, journalism, sales, event planning, or similar field. bachelor’s degree required. excellent writing, copyediting, and general communication skills necessary. must have the demonstrated ability to operate with uncertainty, multitask, and thrive and prioritize in a fast-paced environment. a startup-style approach: bottom line is you have to be ready for anything, be excited, and bring a positive outlook to the cove table. to apply, please submit cover letter, resume, and two writing samples. no emails or phone calls, please. deadline to apply is july 20, 2014."
17723,t,nan
6065,f,"we're looking for someone who can help us cover the whole russian market - analyzing established players as well as keeping us up to date with new newsworthy developments. ideal candidates will have: --- experience working in journalism, either print, broadcast or online, as reporters, editors, bloggers, etc. --- an understanding of the business aspects of traditional and digital media --- another part-time or full-time position, but have flexible availability to complete assignments from the aim group and classified intelligence report as mutually agreed --- a strong command of written and spoken english, and additional language(s) as appropriate to their markets --- strong familiarity with digital media, including trends and structures"
10527,f,"4+ years experience as a back end/full stack web developer in a fast paced company thorough knowledge of the tech stack: (ruby, rails, heroku, postgresql , js, coffeescript, cucumber rspec) a keen interest in the problem at hand: operations, scheduling and building software that directs a national fleet the ability to build rapid prototypes tests having built robust, scalable software be excited to work in a growing team on a massive problem "
12076,f,the ideal candidate will have teaching/training experience as well as certification and/or equivalent experience in one or more of the following specializations: [1] power plant maintenance technical electric [2] power plant maintenance technical mechanical [3] power plant technician instrumentation measurement and control [4] transmission/distribution protection relay technician [5] transmission power service technicians (substations) [6] distribution network operator (electrical network operation) [7] cable splicing (jointing) [8] power plant operation combined cycle [9]electrical power cables (jointing) [10]overhead lines (construction maintenance) education / training specializations 1 to 6:a tertiary qualification in electrical power engineering or an equivalent relevant qualification specialization 7:a tertiary qualification in electrical cableman craft or an equivalent relevant qualification specialization 8:a tertiary qualification in mechanical engineering or electrical engineering or an equivalent relevant qualification specialization 9:a tertiary qualification in electrical cableman craft or an equivalent relevant qualification specialization 10:a tertiary qualification in electrical power engineering or equivalent relevant qualification 
215,t,"qualifications knowledge, skills abilities: a high school diploma or ged is required. must have a valid driver’s license. ability to read, write, and communicate effectively in english.good math skills.four years of experience as an ic technician and/or electrician in a power plant environment, preferably with a strong electrical background, up to and including, voltages to 15 kv to provide the following: demonstrated knowledge of electrical equipment, electronics, schematics, basics of chemistry and physics and controls and instrumentation. demonstrated knowledge of safe work practices associated with a power plant environment. demonstrated ability to calibrate ic systems and equipment, including analytic equipment. demonstrated ability to configure and operate various test instruments and equipment, as necessary, to troubleshoot and repair plant equipment including, but not limited to, distributed control systems, programmable logic controllers, motor control centers, transformers, generators, and continuous emissions monitor (cem) systems. demonstrated ability to work with others in a team environment. "
17626,t,nan
584,t,nan
17689,t,"normal 0 confident yet easy-going; firm yet flexible; hard working, positive attitude. professional appearance and solid communication skills both written and verbal. ability to multi-task/prioritize and work under pressure. manages time effectively, good attention to detail and organizational skills; ability to meet deadlines and set priorities for specific assignments. anticipates needs and/or potential problems; initiate steps to resolve issues. ability to be resourceful and proactive in dealing with issues that may arise. uses judgment in dealing with sensitive issues. "
17756,t,nan
16132,f,"things we look for honesty, integrity and a passion for agriculture and deep respect for farmers. everything we do is focused on understanding the needs of farmers and empowering them, we measure our success directly by their success strong communication and interpersonal skills good planning and organizational skills highly motivated and the ability to work independently, as well as with team members. solid experience/knowledge of farming/agricultural industry ability to work in a complex and constantly changing environment. ability to learn and be proficient in operating new software systems. driving is required, as is a good driving history things you'll do proactively identify, and recruit high potential farmer and professional crop consultants as fbn members. cultivate relationships with farmers and other stakeholders (e.g., professional crop consultants). participate in all training provided by fbn and make efforts to learn different farming systems. communicate with farmers or professional crop consultants in person, by phone or by email, as appropriate. organize and conduct farmer meetings to recruit members document and report suggestions from our members to improve fbn. some travel within your region will be required. some travel to fbn office locations in iowa and california may be required at times. use software provided by fbn to document all customer interactions. "
8241,f,university degree required.tefl / tesol / celta or teaching experience preferred but not necessary positive attitude required.canada/us passport holders only 
4402,t,good computer skills good phone voice ability to work with little supervision a good attitude 
17762,t,the ideal person should be highly self motivated with a strong commitment to customer service. prefer a candidate with optical experience however will be willing to train the right candidate.
12856,f,"we are looking for a bilingual individual that has experience in human resources preferable in an international company. we are looking for someone that fits our company culture perfectly and who is outgoing, humble, effective, adaptable, remarkable, transparent, hardworking and has an awesome attitude."
11437,f,"required skills:- excellent command (native speaker) of french language.- excellent knowledge of english.- advance knowledge of pc (ms office, internet).- strong team working and interpersonal skills.- strong communication skills.- passionate about customer care.desired skills:- university studies, preferably in tourism.- knowledge of air ticket reservation system/software will be considered a valuable asset.- experience in a call center will be considered a plus."
3264,f,"required skills: prior proven experience in all areas of ebook creation (cover page/jacket design, epub creation and conversion, typesetting, graphic illustration) an understanding of web design and ideally html must be fluent in illustrator, adobe creative suite, photoshop and indesign css design skills excellent layout and typographical skills an understanding of web standards able to produce artwork good creative visualization strong working knowledge of an epub editors, conversion and validation tools "
2869,f,university degree required.tefl / tesol / celta or teaching experience preferred but not necessary positive attitude required.canada/us passport holders only 
1977,f,2+ years of product management experience you have built something amazing before or turned good into amazing love for data - you can back your analytical credentials by showing how you use data in decision making high degree of intellectual curiosity preferable to have experience in payments/financial services or as engineer 
3624,f,"requirements: candidate must have extensive sap experience in an erp environment to be considered. end user support will require the investigation, tracking and resolving or escalating production issues relevant to different systems used in the north america order processing and/or billing process. the candidate will need to be able to interact with business and technical resources of varying levels to accomplish this support. the candidate will also need to complete or manage project activities independently or under the supervision of erp team project managers. the size and complexity of the projects will vary from specific enhancements to complex erp migrations. activities that will need to be supported include roi creation, requirements gathering and documentation, communications, testing, project scheduling and administration and issue tracking/resolution as well as other business related activities as needed. major activities and/or essential functions provide end user support for order management billing operations systems, resolving issues or escalating them to ensure resolution as needed. communication of issues, impacts, options and status to leadership and team members supporting project business related activities through individual contribution or management of the activities of other resources. activities include but are not limited to roi determination, requirements gathering, documentation, communications, testing, project scheduling and administration and issue tracking/resolution act as the liaison between it and business stakeholders for recurring support requests such as mass updates of production data and, in some cases, execute the updates. experience: more than 4 years of it business relationship management or it client partner related experience is required. minimum 10 - 12 years of it experience. education:master degree in information technology program preferred."
11768,t,"creativity and passion for developing high quality code. strong interest in taking ownership of the entire development processfromdevelopment, through testing and deployment. interest and confidence in learning and working with newtechnologies. a passion for mentoring and developing both junior and experiencedsoftwareengineers. able to provide direct, constructive feedback on the fly to your peersand team. a desire for a collaborative development process and both learningfrom andteaching your teammates. the ability to dive deep into a problem, avoiding common pitfalls, andneverbeing afraid to ask for help. a desire to work on hard problems. skills: expert understanding of web technologies and web applicationarchitectures. 2 years+ experience directly managing 3 or more junior - seniorsoftwareengineers. strong organizational and communication skills. 6 years or greater working proficiency in ruby and/or java. experience with relational databases (e.g., mysql, postgresql). experience using git or other distributed version control software. bonus: experience with aws or similar distributed architecture. experience with nosql databases (e.g., couchbase). experience working full-stack with mvc/mvp frameworks likeurl_5543aa46fe37875fcc9e8b278ee02d4a18479d6d208cad289401987349eea211and  . a passion for data visualization. "
937,t,"responsibilities: duties and responsibilities: makes recommendations and implements programs for handling environmental issues in full compliance with applicable regulations. application of iso 14000 environmental management systems. produces written documents with clearly organized thoughts using proper sentence construction, punctuation, and grammar. enter data or information into a computerized maintenance management system. work safely and communicate a commitment to work safely to others. be the environmental champion and liaison with: personnel contractors consultants regulatory agency representatives manages the environmental compliance action plan. ensures environmental records management process meets agency requirements and uses resources effectively. regularly performs process hazard analysis and participates in investigations. manages projects and timely communicates problems and achievements. meets regularly with employees and contractors. oversees and performs environmental inspections, audits, and sampling. ensures appropriate environmental training is completed. assists in completing and submitting agency submissions. assists in the review and reporting of the impact of environmental regulatory change on the business. demonstrates focus on continuous improvement and environmental sustainability systems. participates in the hes committee. qualifications: minimum education, knowledge experience: bachelor’s degree in environmental science, environmental engineering, environmental planning, or a related field (biology, geology, hydrology, chemistry, natural resources, etc.). another degree may be acceptable with experience in environmental compliance. minimum of three plus (3+) years of professional level experience in the field of environmental compliance is required. demonstrable experience in the application of environmental laws/regulations. experience with the following agencies and programs is highly desirable: sjvacd, carb, blm, doggr, epa. hazardous and non-hazardous waste, air permitting and testing (title v), wastewater disposal, spill response (spcc), biological surveys, and resource management. has or is working toward an environmental certification listed by nrep is highly desirable. knowledge and prior use of microsoft office programs including intermediate knowledge of microsoft excel, power point, and word. microsoft sharepoint experience is a plus. "
8057,t,"requirements coordinator requirements: two+ years of experience in an appointment setting orsales role willingness to attend training and workshops regularly to learn and improve performance. experience interacting with executive technology industry experience strongly preferred clear communication skills experience working with microsoft office: word, excel strong organizational skills and high attention to detail "
343,f,"education, experience profile: bs/ms in computer science, information systems, or equivalent professional experience : 2-5 years languages: greek, english skills: excellent communication and presentation and skills in both greek and english. ability to work under pressure and meet tight deadlines. self motivation. fast learner. required technical skills: experience in functional testing of web based business applications built using java and j2ee technologies experience in test automation - testng, selenium, sikuli, hudson/jenkins etc. experience working in a fast paced agile or scrum development methodology working knowledge of java and sql knowledge of web technologies like html, javascript, css, http, xml experience on linux platforms - basic administration, builds, software deployment,scripting. excellent command of software development lifecycle and processes ability to accurately estimate tasks and meet aggressive schedules additional skills to be considered as plus: german language "
14159,f,"required skills: we understand that you are just starting out, so we only require a few things. you will need to: be fluent in english with excellent written communication skills. hold a higher education qualification, (a level or higher). be computer literate and savvy on the web. have a great eye for detail. have a logical and methodical approach to your work life. have a 'can do' attitude. desired skills/experience: some knowledge of microsoft excel is a real plus. experience using cms, magento. knowledge of wordpress or similar. photoshop. how to apply? in your cover letter please tell us:1. why you want to work for us?2. what do you think the challenges are facing an e-commerce company, like wedo?"
4350,t,"qualifications personal attributes • mechanical/technical experience and insight, engineering degree or relevant business experience• preferably 3-5 years’ experience in subsea workshop or similar industry• structured and methodical• strong interpersonal skills with the ability to work effectively both within a team environment and with limited supervision, ability to take lead • sap and microsoft office skills preferable• fluent in english with good verbal and written communication skills company values:• ensure understanding of hse standards, model hse behaviours, minimize accidents• ensure team complies with policies and procedures• create and build cohesive teamwork• enhance client satisfaction on all products, service and relationship with company"
9642,f,nan
7702,f,"must have’s 3+ years as a business analyst on a software development team (writing business requirements, documentation, use cases, workflow management). general understanding of the complete software development lifecycle. agile development methodology knowledge. 4-year degree preferred. exposure to java and experience with ms visio, balsamiq, ms project, confluence, jira, greenhopper, scrum is preferred. exceptional interpersonal, written and verbal communication skills. "
10505,f,"languages and frameworks: area 17 developers applications in ruby based frameworks (rails, sinatra) and php based frameworks (laravel,zend, wordpress) depending on client needs. ruby is our preferred language. we are looking for someone who has advanced web development and leadership skills in both, however we understand that this is often not the case. we will consider applications that have advanced skills in only one, as long as there is a desire to learn the other. required skills: 6+ years of experience developing applications for the web strong leadership and communication skills (written and verbal) ability to implement optimization, scaling and caching techniques devops: understanding of server and cluster structures and deployments understanding of http api development understanding of html, css and js development desired skills: keen interest in learning new languages respect of industry-accepted standards, specifications and best practices ability to learn new development techniques as needed experience planning and managing projects using agile development methodologies (scrum, lean) familiar with mac osx environments, we don't have any pc's would be nice if you also did: ios, android, windows app development "
15643,f,"must have minimum 5 to 10 years experience in raising capital for large scale real estate projects from private investors. 5 to 10 years in private equity, investment banking, or hedge fund career track, and/or a demonstrated record of success in either capital raising or institutional financial sales. experience in forming large scale private equity fund. must have established relationships with major banking and financial institutions. strong writing, communications and computer (ms excel and word) skills. "
13104,f,nan
10063,f,"as a delivery driver, you must be focused on safety, attendance, and punctuality. there is no minimum education or experience required for the delivery driver position – the important thing is that you are able to handle a truck well and that you are a skilled enough driver to drive every different type of vehicle in our fleet. you must also have an excellent attitude, personality, and interpersonal skills, since you will be the face of our company to most of the customers to whom you deliver. it is also vital to your role as a delivery driver that you display a solid work ethic and dedication to providing excellent service.specific qualifications for the delivery driver position include: valid class a or b cdl license and a clean driving record the ability to lift 75-100 pounds repeatedly (your most common cargo will be 70 pound bundles of shingles) ability to pass a drug test on hire and then to pass random tests ability to pass a background check as well as a driving record check boom truck experience is a plus hazmat experience and endorsement a plus "
