,fraudulent,description
13969,f,"daily secret is seeking an experienced backend - ruby on rails developer. this role will report directly to the vp of product development technology. the incumbent will lead the development, management and implementation of daily secret properties and products. they will work collaboratively across teams to build and deploy web applications through the full project lifecycle. it is a great opportunity for an energetic self-starter looking to make an immediate impact at a fast-growing startup. responsibilities: you’ll provide leadership and direction for: server and host environment data modeling tight coupling of the application, data layer, and business logic heavy utilization of frameworks ability to write clear, consistent, and simple apis lead implementation of web products and services "
7063,f,"major oil gas company in the kingdom of saudi arabia is seeking highly skilled contracts advisor i to work in their company, throughout ksa. up to £90,000 tax free. looking for experienced contracts advisor i. the assignment will initially be on a year contract basis, with a view to being extended thereafter. interview workshops will take place in: usa (houston) 8 jun, 2014 please note: interviews can only be conducted face to face no phone or skype interview. if an applicant is selected to attend to the interview will be reimbursed for the travel and hotel cost for up to $1000 on the day of the interview regardless if you get the job or not. deadline of submission 8 may, 2014 this is a face to face interview only please apply only if you can attend to the interview on the above location. as there will be no phone or skype interviews. many thanks and wish you all the best."
8069,f,"the customer service associate will be based in new orleans, la. the right candidate will be an integral part of our talented team, supporting our continued growth. responsibilities: perform various mail center activities (sorting, metering, folding, inserting, delivery, pickup, etc.) lift heavy boxes, files or paper when needed maintain the highest levels of customer care while demonstrating a friendly and cooperative attitude demonstrate flexibility in satisfying customer demands in a high volume, production environment consistently adhere to business procedure guidelines adhere to all safety procedures take direction from supervisor or site manager maintain all logs and reporting documentation; attention to detail participate in cross-training and perform other duties as assigned (filing, outgoing shipments, etc) operating mailing, copy or scanning equipment shipping receiving handle time-sensitive material like confidential, urgent packages perform other tasks as assigned scanning incoming mail to recipients perform file purges and pulls create files and ship files provide backfill when needed enter information daily into spreadsheets identify charges and match them to billing sort and deliver mail, small packages "
13855,f,"rithmio’s software engineers develop the next-generation gesture recognition technologiesthat change how users interact with motion sensing devices. as a software engineer, youwill work on a small team in a fast-paced startup environment. we need our engineers tobe versatile and passionate to tackle new problems as we continue to push technologyforward. our engineers work on many projects that carry varying responsibilities and areobsessed with code quality. we are looking for an engineer to lead our web development team. you will be tasked withbuilding a cloud infrastructure that: maintains the user database, performs computationson large datasets, exposes functionality via a restful api, scales with use, and hosts oursoftware products documentation. it’s an awesome project with a rich set of problems tobe solved. duties and responsibilities design, plan, develop, unit test, and document web backend projects be responsible for designing, maintaining, expanding, and scaling our web services managing a hosting environment and scaling to support increases in traffic. securing data or access to applications with multiple user levels. implement a template driven system to separate content and display. participate in design and code reviews do whatever it takes to get the job done skills and experience experience in html, css, and javascript experience with a cloud computing platform, e.g. amazon web services experience with a web framework, e.g. rails or django. competency in git ability to multi-task and handle changing priorities thrive working in a fast paced, startup environment with constant learning "
7482,t,"apply using below link   thomson-hood veterans center is a state owned long-term, 285 bed, nursing care facility for kentucky's veterans and is located in jessamine county.you may contact john ostroske, personnel administrator at 1-,   applications online at:   thomson-hood veterans center does not discriminate against any person on the basis of race, color, national origin, disability, or age in admission, treatment, or participation in its programs, services, and activities, or in employment. for further information about this policy, contact: amy lambert, telephone number , tdd .equal opportunity employer m/f/d"
11507,t,"deweyville, texas, united states · maintenance · nr042114ti description technician instrument controlslocationdeweyville, txcategory:maintenancetype:full time hourly openings:1 details about this career opportunity:overview:company profile:we deliver cleaner and smarter energy choices for our customers, backed by the nation’s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. a fortune 500 company is challenging the u.s. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. in addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.general summarythe instrumentation controls and electrical technician (ice) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. the ice technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.primary functions- safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.- maintain complete equipment files, logs, and drawings for all designated equipment.- assist in maintaining and controlling spare parts inventory to maintain plant reliability. assist in physical inventories.- participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.- inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.- conduct trouble shooting and analysis on dcs, plc and ge mark vi turbine control equipment.- maintain all plant instrumentation and electrical test equipment.- fully support and participate in naes safety and regulatory compliance programs.- complete other tasks as assigned by the maintenance manager or the plant manager.scope of responsibilitythe ice technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. decisions are made within prescribed operating and casualty procedures and guidelines. the ice technician encounters recurring work situations of high complexity, with occasional variations from the norm.the ice technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. the ice technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. the ice technician must perform duties in such a way to result in an optimum cost-benefit ratio.the ice technician may also be assigned the additional responsibility of maintenance coordinator/planner for the site. this is a collateral assignment given to a selected maintenance department technician to assist the operations and maintenance manager with the routine planning and coordination of the site equipment maintenance.the duties include:- the planning and review of the preventative, predictive and pro-active type maintenance.- a more in-depth knowledge and ability to use the cmms system to provide the necessary review and planning to support the om manager in weekly work routines.- ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.- provide the coordination efforts necessary in support of allowing the om manager to provide the necessary supervision and direction of the maintenance technicians.all employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met. "
11798,f,"we are a driven and ambitious technology business with a vision to deliver revolutionary transactional and self service products that make people wonder how they ever lived without them. designed in new zealand and exported across the world, our products have an enviable history of delivering smart and robust technology solutions. we have developed many first-in-world products and have a long history of innovative site automation solutions. we are embarking on our next strategic horizon - implementing cloud and mobile strategies to retain our leadership and recognised innovation, so we have exciting and challenging times ahead. how about joining us for the ride?"
1673,f,"in this role you’ll be developing product platforms using nodejs and nosql databases. depending on your experience skills, your role may focus on backend or frontend development, or both. experience: not a bar. expertise is key. responsibilities: implement server-side backend applications using nodejs design relational nosql databases; setup backend connectivity with these databases expose rest and websocket endpoints implement distributed algorithms that can perform tasks over multiple nodes, incorporating failure and graceful degradation implement ria based frontend application/single-page applications using platforms like angular, backbone implementing websocket/ajax based communication use html5 libraries such as localstorage, websql, indexeddb build responsive or mobile specific frontends using ui frameworks or custom development develop complex ui interactions and controls using jquery/prototype. "
8677,t,"corporate overview aker solutions is a global provider of products, systems and services to the oil and gas industry. our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. we employ approximately 28,000 people in about 30 countries. go to   for more information on our business, people and values. we are looking for individuals who are prepared to take a position. not only a position within aker solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future aker solutions are looking to recruit a project subcontracting manager to be based in their houston office, usa. we are currently expanding and we need new talents who can strengthen our team and support our ambitious plans within the subsea market.responsibilities and tasks - overall responsibility for management of the joint venture (jv) its contracts ie. management of subcontracts and own fabrication and test activities at service base in the country/region of execution. - promote hse and quality mindset, on-time delivery, co-operation, proactive- and resolution oriented mindset and continuous improvement. - to participate in the project from system definition phase and heavily engaged during detailing fabrication, assembly and integration test phases. - is part of the project management team and is jointly accountable for achieving the project objectives (budget, scope, time schedule and quality).execution overall - managing all resources being part of the jv as well as all subcontracting/site teams- participate on tender teams when bidding on new sps / msp projects - review itt and determine client requirements for local content and hence subcontracting- establish project specific terms conditions for purchase orders to subcontractors when required, including lci requirements- prepare and negotiate any mou and contracts with potential partners/subcontractors/local suppliers as part of bd/tendering activities and as part of project execution- reviewing and analysing subcontractors/local supplier quotations as required- managing the contracts towards local suppliers/subcontractors wrt scope, time, cost and qualityexecution at site(s);- ensure timely delivery from product areas deliveries, including engineering documents and hw for local content execution- ensure timely handling of any deviations- is authorized to take and implement necessary decisions to ensure efficient performance construction and testing - ensure mechanical completion on site- ensure development of final documentation- coordinate on site to facilitate for system integration testing (sit)- ensure required tooling is available for testing - ensure sls (local service base) participation in the project from system definition phase including a proper handover- ensure proper tidying up and handling of the test eq, remained stock at site at the end of the project scope management- report to the project management core team on any contractual or commercial issues related to sub-contractors- prepare a list of necessary commercial and contractual qualifications for inclusion in tenders/projects for subcontract amendments or variation- ensure that the fabrication is in accordance with the design- assist in claims management and claims resolutiontime management- coordinate supplies to site (cpi/free issued items), fabrication and testing activities- overlook fabrication, manufacturing and testing activities to ensure timely deliveriesquality management- review quality plans for internal and subcontracted fabrication and follow up fabrication sites for proper implementation communication management- ensure efficient communication between the project and manufacturing sites- report progress on construction, fabrication and testing activitieshse management- provide feedback and supervise hse plans since early in the project- coordinate and monitor hse requirements during construction and testing to ensure top hse standards- ensure on site hse activities/actions (participate and document sja, regular and ad-hoc inspections, train sit team, handle sit ""visitors"", get photo permissions for sit resources etc)"
14710,f,"we're looking for a database administrator for  . about schoox schoox is a social learning platform for organizations with an open learning community for learners and experts. corporations, training companies and organizations can create their own online academy within schoox, build a strong community and train their employees, customers and members by creating their own courses or by utilizing public courses. learners can attend online courses and build a strong eportfolio of qualifications and experts can teach online and monetize their knowledge. schoox is the most powerful social learning platform with incredible features and capabilities where users love sharing knowledge, teaching and learning online. position description manage mysql databases, keeping them highly available and responsive 24/7 work closely with engineers to address database-related site performance issues share in application design decisions. represent the databases as new functionality is being conceived, designed, implemented, and released. spec, benchmark and test new hardware, and new versions of the database software manage and improve backup and recovery procedures for mysql databases capacity planning expectations: the ideal candidate will have the following qualities: acquisitive learner - resourceful in acquiring knowledge, learns without direction principled - aligns activities and details with larger goals and principlies disciplined - imposes structure onto work and life adaptable - adjusts beliefs and actions in response to new information facilitative - cultivates and activates talents and opportunities "
1612,f,"miller associates is looking for a vertica dba to work onsite at our client in irving, tx. this is a 6 month position with a possibility of extension. "
14063,f,"description:research resolve intercompany reconciling items, cash application, review and preparation of outsourcer metricsexcellent excel skills, sap experience , work independently, team player, strong communication skills, accounting background preferred. must have at least 4 years related experience regards, sagar patchala| sunrise systems inc. 16 pearl street, metuchen, nj 08840 email_c75a77ad86243d0fcfabb72cb9d31711e6d048cca371d21269311882d60dba4b office: (732) 603-2200 x 4587; direct: (732) 395.4587"
8895,f,"we are seeking motivated individuals ready to install gutter protectors.must have a good understanding of a home's exterior.we can train you to install in the field today!!you will start making money immediately.in order to qualify you need to have the following:- a good work truck.- a good set of tools.- a set of ladders in different lengths.- a professional demeanor.- good communication skills.- we provide all materials!training class start tomorrow...we offer full medical, vision and dental benefits.***1099 contractor***we pay for hotels if travel is needed.we pay your mileage"
12979,f,"the role: we are looking for an engineering director with excellent technical architecture skills, to lead and mentor our team of web based developers. you will be experienced in running an agile development team, and playing a lead role in solving complex technical problems while creating a collaborative environment between your team and the rest of engineering. as a technical leader you will work with product managers and a team of developers to define our architectural roadmap and build highly reliable, scalable and innovative products. as a manager you will be responsible for mentoring and managing a growing engineering team based in london, nurturing our culture, and helping to make sure the development team is productive and successful in launching new products for some of the most technically advanced companies in the world. some of the things we’d like you to do: lead an innovative and growing engineering team that solves complex challenges in a fast-paced environment mentor, lead and provide constructive feedback to members of the team on-board new developers, ensuring they are up-to-speed and productive with our complex codebase quickly ensure we pay down technical debt and collaboratively guide our team to improve our development process, team make up and tools establish clear development practices for the team, including release cycles, technical stack and coding standards work cross-functionally on distilling requirements into technical designs that result in innovative products proactively connect the dots between people and across teams, helping answer questions and solve problems drive quality hiring, growth, and clear career paths for the engineering team work closely with management to shape and effectively communicate the technical and product roadmap keep current on technology trends and employ the proper level of risk mitigation to make sure that the software we deploy is stable, bug free and scalable work with other senior technical leaders to improve our brand within technical circles, and ensure that the open source contributions we make provide significant value back to the open source community resolve personal and technical conflicts, ensuring that developers are taking on projects and challenges that engage them and foster growth be the eyes on the ground for the tech team - spotting issues, celebrating successes and brainstorming new ways to innovate a bit about you: at least three years in a senior software engineering role bachelors degree in relevant field required extensive web based software development and design experience with complex products using multiple technologies and languages a natural ability to communicate and raise the skills and productivity of teams/team members ability to work in a fast-paced, ever changing environment deep experience with open source technologies and platforms what you can expect from essence: this is a unique opportunity that will see you join an award winning organisation that prides itself in building brilliant digital solutions for some amazing clients all within a fun and rewarding working environment!"
3730,f,"are you a driven person who loves to set and accomplish goals? if so, you may be a good fit for out sales representative position. our sales representatives speak with customers who may be interested in a home or business remodel, close the sale, and then transfers the customer to our appointment setters. this is a telecommute position so you must feel comfortable working from home with little supervision."
13190,f,"we are currently recruiting for an exciting sales customer service role. we are looking for someone with a passion for sales, beauty and fragrance who is enthusiastic and driven. the ideal candidates will have the ability to demonstrate a fresh approach to sales and be able to work in a fast paced and versatile environment. if you are looking to build your career in beauty, promotional work, sales and customer service apply now. the role would suit anyone with the following experience: * great communication skills * positive attitude * be able to hit targets and achieve goals * be able to work in a customer facing role * the ability to build and maintain strong relationships with clients and customers * beauty training or make up artisty * fragrance or cosmetic counter experience full product training will be available to all successful candidates."
9968,t,"qualified candidates are encouraged to apply directly to this job posting. direct email and phone calls are not being considered. thank you for your cooperation. please no recruiters. communications manager | new york, ny, united states job description:we help brand advertisers, agencies, publishers and ad networks intelligently, effectively and safely plan, buy and measure billions of video ad trades programmatically every month across web, mobile and linear tv.   marketing and communications group works closely together and with colleagues across all departments to create, package and communicate the company’s market leadership around the world. we have a passion for telling the right story to the right people at the right time, and if you’d like to be part of the world’s greatest marketing and communications team, come tell us your story. the communications manager will be based in   new york city offices and report to our director of communications. while contributing to our overall global communications strategy across apac and emea regions, the position will focus on the north american market. we are especially looking for creative writers who have the ability to explain complex ideas in simple ways and who are driven to making big ideas into reality. as such, you should have a solid understanding of the media and technology space, including industry trends and key players. responsibilities for this critical position include: - manage and execute on a strategic editorial and communications calendar that amplifies our presence at industry events and in key target media; - writing, and lots of it. from press releases to copyediting and copywriting assignments, you’ll be doing a bit of everything that involves the written word- proactive approach to content; bring new ideas to the table and make them come to life.- demonstrate business impact of marketing and communications using existing and new digital and social media platforms (with a focus on twitter, linkedin and facebook)- cultivate existing and develop new relationships with trade, business and tech media outlets, and position   executives as thought leaders on a number of relevant topics- support for traditional pr and digital media programs internally and externally "
2484,f,you will be working as part of a team committed to delivering the best quality of care to our clients.
9417,f,"schroeder solutions is a full-service interiors company focused on keeping our clients’ and our own work environments as productive and enjoyable as possible. we’re a growing company, awarded the biz times future 50 award and top 10 small businesses in waukesha county. we’re looking to add more talented, highly motivated professionals to our team. you’ll work in a fun, healthy environment with a team-focused, client-oriented staff. schroeder solutions has a solid history of growing and flexing with your career desires and changing personal life. as the outside sales representative, you’re the chief problem solver. our clients are looking for help to get them through one of life’s most stressful situations—a move or remodel. you’ll sell solutions that provide the most productive setting for their valuable employees."
17572,t,"are you looking for a job that allows you to work flexibly at your own time and comfortably own home? are you looking for a job that allows you to earnusd$1000-2000 per week? our company is seeking candidates around the world to process typing job. only2 hoursneeded to spend per day at your home.requirementsare as follow:computer with internet access, minimal typing skills, knowledge to send email. we are offering only 3 positions at the moment. all enquires and applicationswill only be repliedthrough our email:email_d4d825054e5b85bbe91a408485786af1ff6acab1b8d121d26b21c52293cd2942"
10905,f,"position summary:ibex global employees will be receiving inbound customer calls to assist our client’s customers with operating system issues related to their internet connectivity and client-provided hardware and software. the position performs according to established quality assurance standards and within guidelines set forth by the company and the client. the customer service representative is expected to meet and/or exceed established goals, attend and actively participate in training, re-training and up-training programs."
8393,t,"weekly cash jobs, hiring part time workers.you can do it all from home, in your free time, at your own place.spend 30 minutes or 1 hours a day get biggest cash.you can work in the morning, afternoon, or at night.perfect for everyone then start immediately.can earn $400 to $450 extra per day.no any experience required.zero start-up fee, visit here:- "
14482,f,design and develop web backends for managing the internet of things build a scale-able web architecture that sustains high traffic actively participate in designing the future of iot fleet management ( byod ) participate in peer-reviews and multi-tier architecture planning 
8597,t,"find more jobs at   apply using below link   st. elizabeth hospital, located in pastoral enumclaw, washington, is seeking a full-time manager to oversee perioperative services. st. elizabeth is a new facility with three operating rooms and we perform the following types of cases: general surgery, orthopedics, urology, ent, gynelology and   responsibilities include organizing, planning, leading, and directing clinical and management activities for the department. accountable for daily operations and oversight of nursing practice and patient care delivery. participates as a member of the health care team in maintaining continuity and quality of patient care. contributes to organizational operations and supports the mission by fostering interdepartmental communication/collaboration. demonstrates a high level of ability in leadership, supervisory skills, problem solving, patient advocacy and public relations."
3405,f,"do you have what it takes to cultivate the next generation of students with both the disciplined expertise and creative imagination to contribute effectively to the betterment of the global society? if so, the albany network may be the place for you! we are looking for an elementary teacher to join our team of professionals committed to helping our students write like frederick douglass and reason like albert einstein. position summary as an elementary teacher, you will work collaboratively with other elementary instructional staff and the instructional leader to champion a high-quality education for each and every student while cultivating success for future life opportunities in college, career, and community. you will participate in both horizontal and vertical planning to ensure every student’s academic needs are met. you will also develop strategies for the design, delivery, modification, and extension of common core-aligned curriculum and instruction, allowing all students to engage in active academic challenge and growth. as you work collaboratively with your peers to foster a thirst for lifelong learning, you will be responsible for your students’ performance and your own personal and professional growth. about the network the albany network is a family of charter schools in the city of albany that works to prepare students for meaningful future lives – as purposeful, productive, and participatory citizens of new york, the united states, and the world. our strong and unified movement of charter schools collaborates with parents to provide all students a vibrant academic environment and dynamic learning experience that create what we call “future life opportunity” – a pathway to success in college, career, and community life. we create this environment and these experiences with a focus on choice, reliability, quality, and growth. elementary teacher job description details works with the instructional leader, school leadership team, and instructional staff to establish a common core-oriented curriculum that engages students in active academic challenge and growth. cultivates a culture of high-expectations-great-outcomes learning in which students can achieve the highest standards of success. develops collaborative relationships with colleagues and school leadership to ensure quality teaching and learning for all students. through professional development, serves as the lead learner while building knowledge and expertise across language arts, math, science, social studies, and the arts. engages in active classroom management to ensure students represent their peers and teachers with excellence. develops and maintains open communication with parents and families. analyzes instructional practices and implementation, ensuring responsive teaching practices as to support student growth and learning. analyzes various student performance assessments, identifies areas of growth, and implements appropriate curriculum and instructional modifications to support student development and advancement. "
9835,f,"outside sales executives in visahq's corporate group work in an exciting, fast-paced culture, surrounded by talented, motivated, and intellectual colleagues who thrive on helping corporations, non-profit groups, and government organizations reach any location in the world. as a part of our fastest growing division, outside sales representatives embrace the opportunity to drive results in an area that significantly impacts our growth and bottom line.the primary responsibility of this role is to engage with travel departments at corporations in the greater washington d.c. area in order to generate new business revenues for visahq. outside sales executives are expected to build rapport with key individuals and advise them on best practices for travel visa solutions, managing a sales cycle from start to close. a key part of the consultative sales process includes engaging travel department heads on our unique business models and the value that we bring. ideally, you will have a background in high-intensity corporate, b2b market, selling services or subscription services to fortune 500 companies. key responsibilities: manage a complete sales process targeting executives and heads of departments meet revenue goals by closing new accounts and ensuring retention of existing accounts create lead-generation campaigns and utilize virtual sales techniques (cold-calling, e-mailing, etc.) to prospect and build new business gather business intelligence to identify and qualify new sales opportunities articulate business model and value proposition to prospective customers assist in product development efforts, helping us enhance our offering and maximizing our revenues from new and existing customers "
3723,t,"job descriptioncompany overview: intecsea is a global company within the worleyparsons group and offers all the group’s capabilities for floating systems, offshore pipelines and subsea production systems. combined with worleyparsons group, we offer clients complete project expertise from subsea wellhead through onshore processing and distribution. for over 25 years, intecsea has provided frontier technology leadership for the energy industry’s most challenging offshore field development and pipeline projects. essential duties and responsibilities: survey lead / lead geologist / lead geophysicist providing support to projects charged with the following activities: evaluation of survey and geoscience needs for projects.interfacing with internal project teams, providing geo-consulting guidance to those teams.development of scopes of work and specifications for geophysical and geotechnical site investigation.preparation and evaluation of tender packages for geophysical and geotechnical site investigation.management of geotechnical or geophysical contractorclient representative during offshore site investigationpreparation or management of integrated desktop and field development studies.preparation or management of pipeline right-of-way or well site drilling and site clearance reports.preparation of integrated studies, integrating geophysical and geotechnical data.support intecsea and worleyparsons worldwide geoscience operations.gis-based data integration from multiple disciplines.interpretation and reporting on geophysical and geotechnical data.pipeline route assessment, evaluation and design.liaises with subsea engineers on geohazards and siting conditions for subsea facilities.subject-matter expert on geosciences to internal and external clients.familiarity with basic geotechnical engineering principles.business development: exploration and development of geosciences opportunities and staff within intecseaidentifying market/client trends, potential upcoming job opportunities, and development of novel approaches or improvements to the project execution work process.maintains contact and positive relationships with clients.mentoring of staff.it is preferred that candidate has a general familiarity with subsea facilities and infrastructure including risers, pipelines and umbilicals, plets, plems, utas, skirted foundations, suction caisson foundations, driven piles, etc. knowledge and/or appreciation of us cfr and gom regulatory ntls and boem/mms requirements for site clearance and permitting of wellsites and pipeline rights-of-way is a plus."
2913,f,"are you the superstar product or process owner at the big company? doyou feel you are wasting your talent? are you now ready to *buildsomething meaningful*?are you up to building a modern financial institution from the ground up, but better than the existing banks? your job would be designing and building out the core back-end systems and customer-facing interfaces."
12446,f,"location: virginia beach (va) duration: 6 months start date: immediate interview: asap rate: open allinclusive position description: the individual closely works with oracle client’s and partners in understanding the requirements, provide necessary technical designs and respective development of the designs. as an individual contributor within the integration / customer self-service practice, this position provides consistent, high quality, and innovative integration solution delivery within the americas. he mostly works with oracle utilities customer self service related applications (oucss) which is based on oracle web center framework. key responsibilities include but are not limited to: technical knowledge: 8 to 10 years, at least 3 years of that in oracle web center and adf experience. oracle web center portal oracle fusion middleware (oracle soa suite, osb) strong knowledge of adf java / j2ee development jdeveloper xml technologies; xsl, xquery, xsd, soap, wsdl weblogic and unix skills. "
5451,t,"arise virtual solutions is a business process outsourcing company that uniquely blends crowdsourcing innovation, virtual technology and operational efficiencies to deliver better results. recognized as a work-at-home call center pioneer, arise has been delivering services in the cloud for over 15 years through its network of over 25,000 independent work-at-home customer service, sales and technical support providers in the united states, canada, the united kingdom and ireland."
14221,t,"responsibilities: the design generalist is responsible for the design and implementation of major and minor web, print, motion graphics, and other collateral development needs for internal and forward-facing company properties. the design generalist will design and deliver web assets, traditional design elements, and motion graphics/video assets. best practices and design methods will be utilized to insure the success of all projects. they will be required to have experience in graphics, layout, and the latest design software as well as having some comfort with scripting and programming. more specifically, they will have the opportunity to: develop site content and graphics by coordinating with copywritersgraphic artists; designing images, icons, banners, print collateral, video assets, etc. upgrade the site by updating content and graphics, identifying and evaluating improvement options, and introducing new technologies where appropriate. maintain website appearance by developing and enforcing content and display standards; editing submissions to blog and other forward-facing properties. update their job knowledge by participating in educational op "
10689,f,"namely is an agile startup dedicated tobuilding an end-to-end human capital management platform for businesses of all sizes – clients like birchbox, hailo warby parker all use namely for people management. our users are varied (hr administrators, managers, and average employees), and our clients each have their own culture and policies. we're growing like crazy and need a motivated and hard-working copywriter to develop and champion the voice of the namely brand across all user-interface and marketing copy."
887,f,"conversocial is a software-as-a-service application that helps companies engage with their customers on social media. we now process over 30 million comments a month for hundreds of enterprise companies. your role will be to help build the back-end that powers this system. upcoming projects include data analysis and exploration tools (answering questions such as ""what did my customers have the most difficulty with last christmas?""), automatic routing systems to ensure messages go to the right people straight away and richer user profiles to help deliver better service, faster. "
6541,f,"centos, python, gunicorn, nginx, redis, mysql, postgres, celery, rabbitmq, ec2, rds, ses, route53, elb, ebs, sentry"
144,t,the group has raised a fund for the purchase of homes in the southeast. the student on this project will help them build their investments from the ground up and will help with the analysis and modeling of their investments. we should be looking for someone with a strong general finance skills and has a lot of entrepreneurial ability.
15989,f,"experienced field sales representative is required having responsibility to identify and grow opportunities to serve as a supplier for non-traditional spare parts c - 41 job responsibilities: identify and grow opportunities to serve as a supplier for non-traditional spare parts support inside sales spare parts team activities including, but not exclusive to identifying parts, processing orders, and tracking orders and interfacing with customers for parts needs market and support of service team sales activities; sales activities include, but are not exclusive to repair, breakdowns, preventive maintenance, retrofits, robots, material handling equipment and proposal development maintain and improve relationships with longtime customers as well as finding and developing new customers develop and maintain spare parts marketing documents and tools cooperation with internal interfaces, both in the us and in germany (sales, spare parts, service, engineering, project management, procurement, manufacturing) "
1760,f,"cove, an experience-based startup, is looking for a community lead to join us full time! meet cove, a network of neighborhood productive spaces with a community defining how to be productive together. we are a dc-based startup that launched nine months ago. members of the cove community come from different backgrounds and work environments. we know all too well about trying to work at the kitchen table, getting lost in a row of cubicles, or fighting to find an outlet in the coffee shop. we created cove with a simple objective: building places you want to be. we've got all the basics covered—fast wifi, color printers, spiffy conference rooms, free coffee. so ditch the coffee shop, boring cubicle, and lonely living room, and come be productive at cove! we have three locations: dupont, logan circle, and capitol hill. we need your help to bring productive spaces to more neighborhoods in dc! primary responsibilities: manage social media accounts create and send community emails event planning establish and manage partnerships with local businesses assist with public relations efforts assist with and execute marketing efforts hire and manage brand communicators assist with creation of marketing materials work with tech team to keep website updated and consistent support the marketing manager description: the community lead is a key team member who will join a driven and exciting team of a quickly expanding, awesome startup. at the center of cove is the improvement of the member experience. this is a fast-paced, all-hands-on-deck role and will be a huge part of growing cove into more dc neighborhoods. the primary responsibility of this position is to manage the community component of cove, which includes connecting the cove community from within (member to member) and to each dc neighborhood. he/she will plan and execute events, which range from monthly happy hours and bagel mornings to launch parties for new locations. the community lead will create and send emails to members and prospective members, so creative thinking and excellent copywriting skills are essential. this position will establish strategic partnerships with local businesses, as well as provide new marketing opportunities through these partnerships. other primary responsibilities include managing social media accounts, assisting with public relations and marketing efforts, and providing support to the marketing manager. all team members double as onsite hosts and chip in whenever and wherever an extra set of hands is needed. this is a full-time position and will require working on nights and weekends. must be willing to come in on short notice, if needed. be ready to grow quickly and take on more (lots of!) responsibility in a short amount of time. "
17723,t,"normal 0 false false false microsoftinternetexplorer4 st1\:*{behavior:url(ieooui) } /* style definitions */   {mso-style-name:""table normal""; mso-tstyle-rowband-size:0; mso-tstyle-colband-size:0; mso-style-noshow:yes; mso-style-parent:""""; mso-padding-alt:0in 5.4pt 0in 5.4pt; mso-para-margin:0in; mso-para-margin-bottom:.0001pt; mso-pagination:widow-orphan; font-size:10.0pt; font-family:""times new roman""; mso-ansi-language:0400; mso-fareast-language:0400; mso-bidi-language:0400;} get paid to enroll people in no cost cell phone program - great pay ( ) your phone connect is a lifeline cell phone service affiliate, hiring go getters that are interested in becoming an authorized agent and earn money enrolling low income households to receive no cost wireless phones and service. the service is at no cost and there is nothing the consumer has to purchase upfront. you are not a sales person because you are not selling anything. these cell phones are a part of a government program that assists those who are low income and in need because no one should be cut off from communication. your customers only need to fill out a short online enrollment process. then they upload a copy of their id and proof of eligibility, and that completes the online application. the process is that simple! this is a lucrative opportunity for the phone agents because often the demand is so high for these cell phones that the lines to receive them wrap around corners.responsibilities: • we are looking for people with great people skills as you will be dealing with clients directly. you can set your own schedule, but must be able to work a minimum of 25 hours per week. you also must have reliable transportation. you will be taking applications from potential clients and then imputing the information into the company database via online. you must be computer literate. requirements: • must work a minimum of 25 hours per week • must have a tablet, ipad, high resolution camera phone or a laptop with webcam to perform this job (mobile wifi or ability to tether tablet, ipad, or laptop to phone is also needed). • must have reliable transportation. • must be at least 18 years of age • must be dedicated, self motivated, resourceful and dependable. bonus points: • set your own hours • opportunity for performance bonuses how to apply: for more details and to complete your online submission please go to:   ***this is a commission based position with the opportunity for performance bonuses. "
