fraudulent,description
f,"company overview: brosa is a transformative lifestyle brand with an ambitious objective: to offer designer furniture at accessible price points. how do we do this? we engage directly with consumers across australia and are able to offer premium-quality, fresh designs for up to 70% off regular showroom prices. no expensive showrooms, no middlemen agents, no oversized warehouses. all this leads allows us to bring great designs direct from the makers to consumers homes at accessible prices. founded by a team of experienced entrepreneurs and funded by the university of melbourne, we're a fast-paced startup with a dynamic environment. we’re seeking a graphic designer intern (paid) at brosa, working either from our office in carlton or from home (wherever you want!). join our team and help us build the future of how furniture is bought and sold."
f,"continuum is building a collection of tools and applications that enables quants, scientists, engineers, and other domain experts to understand their data and get the insight they want quickly. these tools build on the success of numpy, scipy, matplotlib, ipython, sympy, and pandas with which we have been intimately involved for decades. we are looking for accomplished scientists and engineers interested in a customer-facing software consultancy role that could lead to full time placement with a customer at the conclusion of a project. the more experienced candidate will have a strong technical background with 8+ years c/c++ development experience and 5+ years industry experience. "
f,"westview financial services, located in chesapeake, va has a full-time assistant manager position available immediately. our office provides personal loans with a one-on-one approach and we are looking for an individual to join our team and assist with managing our office. the duties for this position include but are not limited to: generate new business for the company retain our customer base and managing our loan portfolio sell loans and insurance products review credit applications and making recommendations regarding the applicant’s credit worthiness close and service loans oversee the collections process and determining a course of action for delinquent accounts manage our staff which includes ensuring they are knowledgeable regarding the loan and collections process as well as the various insurance products we offer the qualifications for this position are: a college degree, a bs/ba with coursework in business is preferred or equivalent work experience three to five years of experience directly related to sales and finance is preferred or one year of previous management experience strong sales and customer service skills – must be sales and customer service oriented strong verbal and written skills are required proficiency in excel and microsoft word ability to train, develop and motivate our staff strong organizational skills must be able to multi-task and be flexible regarding your schedule and workload a self-starter who can work with minimal supervision must be a solutions-oriented individual ability to work well with others the hours for this position are as follows: monday – 8:30 am to 5:30 pm tuesday – 10:00 am to 7:00 pm wednesday – 8:30 am to 5:30 pm thursday – 8:30 am to 5:30 pm friday – 8:30 am to 5:30 pm we offer a competitive salary as well as a comprehensive benefits package including: 40 vacation hours after 6 months of employment, 80 vacation hours after 1 year of employment 6 paid holidays paid personal and sick leave on the first day of the month following three months of employment health, dental, life and disability insurance as well as aflac supplemental insurance a 401k plan with a company match after 6 months of employment, however, we have quarterly enrollment periods interested candidates may submit your resume and salary requirements via email to email_35e44c5d029cc41d0d0ed9b8346b04075110309746529a4738984792dc5ed5dc. faxes may be submitted to the human resources department at phone_8f86665c8a76d925f761287bb38d6bb5f440845f2a5fa712361f255943a8b21b. westview financial services is an equal opportunity employer in all aspects of employment without regard to race, age, sex (including pregnancy), marital status, religion, disability, genetic information, military status or any other characteristic or status protected by law. "
f,"apcera is a fast-paced office in the soma district of san francisco. we are revolutionizing enterprise technology and the experiences around it. we make technology smarter so that people can spend less time on maintenance and more time on making new things. as an executive assistant at apcera, you will support senior level staff with heavy calendaring, extensive travel, and fine detailed organization. you will work with the ea team to make sure our executives are on point day to day. you will also assist in event planning, company culture, and office organization as need. we are looking for a bright, warm, cheerful individual with a good sense of humor and a great work ethic to join our team. we seek someone that is open to learning; able to take ownership of their work; and has a desire to excel in this position. at apcera, we work hard, value each other and our mission."
f,"why do we hire business analysts? nubank has set out to completely rethink financial services in brazil. we need a lot of innovative thinking and very competent business analysts to get there what are some examples of problems analysts solve? underwriting a credit card portfolio – figuring out who gets approved and for what credit limit product pricing, tracking performance and updating financial assumptions conduct in-market tests to inform business strategy developing strategies for collecting on delinquent customers "
f,"  has an immediate need for a account coordinator. you will be working closely with sr. account managers to oversee, analyze and improve performance of multiple online marketing channels and launch new campaigns. the role of the account coordinator is crucial to the continued success of our campaigns and business in general. theaccount coordinator role is composed of a one (1) year training program that gives you the essential tools, tips, and tricks to grow into a media manager, account manager or media analyst within our company after the 1-year training program is complete.what will you do? support media team with account management, internet campaign set up, creative design, and ongoing company projects. profile and identify new potential internet marketing partners utilize contact management software and excel spreadsheets to maximize campaign performance produce internal daily/weekly/monthly analytical reports in order to properly track campaign stats utilize appropriate internal systems to organize campaign information/media plans. own and support various projects as needed "
f,"award-winning london-based media company seek a talented and creative recruiter to drive, manage and optimise our recruitment function. the company the beans group is a media company that exists to empower young people to thrive. we have been on an exponential growth spurt since our inception as   in 2005 and in 2013 we won digital business of the year. the beans group owns two brands: student beans, our youth media brand, strives to make life a little more awesome; and voxburner, our youth insights consultancy, helps young people to be understood. the role we are expanding rapidly and have ambitious growth plans to enter into new markets, so this is a fast pace role, with lots of responsibility. you will take the lead in sourcing, screening, selecting, and interviewing candidates for different roles, across all areas of the business. you will drive for the full recruiting cycle from taking briefs from internal hiring managers to candidate identification and evaluation to offer negotiation and closing. you will recruit for a wide range of roles for sales, marketing, production, design and editorial. we're interested in hearing from people with previous recruitment experience. you will havestrong communication skills, excellent organisational abilities and amazing attention to detail. this role will suit someone highly motivated by results and eager to take ownership of responsibilities."
t,"we are seeking a customer service representative who enjoys building relationships, helping others, solving problems, and organizing a demanding schedule. the ideal candidate is independent, confident, and customer focused with good time management skills, strong communication skills and excellent computer aptitude that can help resolve customer problems both internally and externally."
f,"when it comes to know-how and networking for it pros, web savvies and project managers, software support media group ( ) is one of the most comprehensive providers of services. founded in 1995, its unique media competence for expanding technology markets has made it a leading source of information in the it branch. ss media’s business units include print, conferences and trainings, as well as one of germany’s largest online networks. among its renowned partners and clients are companies such as microsoft, sap, oracle, adobe, intel and accenture. the software support media group has offices in berlin, frankfurt, potsdam, london and san francisco. for our berlin-based development team we are now looking for a frontend developer you are a drupal developer who loves to develop complex software systems and are eager to work with one of the leading information providers in the it world? then you’ve come to the right place. at ss media group you’ll report straight to our cto, discover new technologies, collaborate with other developers and benefit from our wide network of contacts. your tasks contributing in the conception of new functions and interfaces working on all of our technical systems (frontend, mobile, interfaces) with our developer team from the very beginning to operations to create great products for our users creating new themes from the scratch and making them responsive liaising with our design team to implement the desired ui and turning beautiful photoshop designs into html, css and javascript writing clean, modular and robust code in order to implement the desired requirements participating in architecture decisions, complex development tasks and new projects "
f,"job overview apex is an environmental consulting firm that offers stable leadership and growth, views employees as valuable resources, and rewards success with competitive pay and incentive bonus plans. we are seeking a self-motivated, multi-faceted project manager to join our team in urbandale, ia and become an integral part of our continued success story. the ideal candidate will be an accomplished environmental professional with an entrepreneurial edge to manage various environmental projects and supervise field staff. responsibilities this position provides project management and support for ust, pipeline, and hazardous material survey types of work. responsibilities include responding to proposal opportunities; preparing technical reports and proposals; managing sub-contractors and field technicians; leveraging existing client relationships and building new client relationships to develop new projects; and ensuring the safe execution of all phases of project work to meet our clients’ objectives as well as company goals. qualifications position requirements include 5-10 years of project management experience, performing and managing the technical, financial, and logistical aspects of various environmental projects; ba/bs in environmental science, engineering, geology, or other related field; microsoft office, field analytical instruments, experience with proposal and report writing and construction management. osha 40 hour hazwoper; iowa cgp; asbestos and lead inspector certifications are highly preferred. want to join a firm where your voice is heard and you could have a genuine stake in the game? submit your resume for consideration today! about apex apex is a customer-focused company that delivers environmental, health, safety and engineering services to over 700 clients across the united states and abroad. driven by an entrepreneurial spirit and a dedication to providing responsive, cost-effective solutions, apex has grown rapidly since our founding in 1988. working in partnership with our public and private sector clients, our team of over experts provides services tailored to support each customer’s unique goals and objectives. by blending strong technical skills, business acumen, and superior customer service, we are able to deliver creative solutions that deliver high quality results at low cost. from commercial and industrial firms to construction, petroleum, and utility companies to financial institutions and government clients, apex has extensive experience in a wide variety of industries. our corporate professional resume includes proven capabilities in the areas of water resources, remediation and restoration, assessment and compliance, industrial hygiene, health safety, utility infrastructure, land development and engineering, among others. apex is an entrepreneurial firm, and ensuring that our senior managers are able to move unencumbered is our priority. we are a successful and growing mid-sized firm. we’re small enough that our employees still have access to our leadership, and it’s easy for high-performers to be recognized for their contributions and advance without bureaucracy. with over 30 office locations, we’re big enough to provide comprehensive environmental consulting and engineering services to our diverse client base and to provide resources to our employees to help in their professional development. we offer incentive bonus plans and ownership opportunities for our successful managers. apex companies, llc is an affirmative action/equal opportunity employer"
f,"praxis life sciences is a dynamic life sciences consulting firm serving the pharmaceutical, biotech, and medical device industries.we have an immediate opening for a computer systems validation (csv) software quality assurance (sqa) managerin our lake forest, il office. the manager will focus on leadership of csv programs and projects, delivery of csv documents, delivery of sqa training, and development and implementation of software quality assurance programs. the csv manager will play an integral role in expanding and seeding new csv opportunities (programs, projects, training, and management of our validation website). this role will be responsible for building the relationship between praxis and the client - helping to deliver a broad spectrum of csv services and capabilities. the csv manager will develop and deliver a variety of csv software qa programs and projects. the manager will primarily be responsible for: provide consulting services for companies seeking to implement or improve existing software quality assurance and validation programs provide software quality and validation auditing services design training courses and develop training materials for both online and live courses. work with clients to tailor training to specific needs. deliver training via webinar format, online instruction, and live instruction. develop software quality assurance processes, procedures, and templates develop praxis’ csv/sqa practice by contributing to the company web site, csv newsletter, and csv/sqa new business development efforts "
f,"lead, manage, and develop our international sem-team development and expansion of our sem internationally with regards to performance goals strategic analysis and management of competitors-, market-research ongoing controlling, analysis and data mining research search engine and ppc industry trends and developments foster in-house expertise take ownership drive forward sem-related cross-department projects "
f,"lei home enhancements is hiring for entry level customer service positions. we have an aggressive expansion plan laid out and are looking to find a person who would love to work in a fun, competitive, positive-minded environment.what we do:lei home enhancements is a marketing firm that deals with home improvement products. why we are hiring: we are located in 8 cities and expanding to 15 this year. therefore, our goal is to find a few people to help in our expansion efforts. the people we hire will have a chance to get in entry level management training within the next 2 months and have unlimited growth opportunity. our management training program focuses on the following areas:sales and marketing leadership skills effective communication techniques marketing campaign roles sales strategies team management"
f,"dice is the smartest ticketing app on earth and we're currently looking for a community and social manager. you are incredibly ambitious and looking for a fresh challenge, we're building something from the ground up and that inspires you. you are bursting with your own ideas and want a chance to bring them to the table. you will be an integral part of the music team, helping promoters and artists to ensure their events are presented at the highest standard and providing them with support. you'll be proactive with our social media channels and proud to be a member of dice. this role will also involve the co-ordination and management of community reps, who are our brand ambassadors out on the streets of london providing on-the-night customer support. this is a full time role which will also include some evenings and weekends. our office is in shoreditch, london."
f,"(we have more than 1500+ job openings in our website and some of them are relevant to this job. feel free to search it in the website and apply directly. just click the “apply now” and you will redirect to our main website where you can search for the other jobs.) education: 4-year degree required; mechanical, electrical or industrial engineering preferred.required skills: 5+ years of manufacturing experience; 5+ years of supervisory experience preferred; strong working knowledge of lean manufacturing methodologies. (we have more than 1500+ job openings in our website and some of them are relevant to this job. feel free to search it in the website and apply directly. just click the “apply now” and you will redirect to our main website where you can search for the other jobs.) visit -   "
f,"description ***visit our careers page here:   to learn more about working with the joist team*** if working with: 1) one of the fastest growing startups2) an incredible team3) solving a big problem in a massive market sounds like something you want be a part of with competitive compensation get in touch with us. joist’s mission is to support trades contractors in running the best businesses possible by bringing coordination, professionalism, and transparency to the contractor ecosystem. we move extremely quickly, and ship new product features that delight our users on a weekly basis. everyone on the joist team contributes new ideas and has the chance to put their signature on what we deliver to the businesses using our product. about joistjoist is a tool for trades contractors, that allow them to estimate, invoice, accept payments, and manage projects from an ipad, iphone, android phone or tablet and the web. checkout our app:   get excited- ranked in the top 25 business apps in the apple app store (out of 19,500 business apps) - tens of thousands of highly engaged users, growing very quickly - $1b+ in transactions processed since launch (12 mths)- funded by top tier us canadian vcs perks- fall in love and have a huge impact on a product used by hundreds of thousands of businesses worldwide- young, energetic, flexible and super fun work culture- weekly team outings (such as the infamous joist wine fridays)- a standard issue joist green hoodie and t-shirt the rolewe’re looking for highly a qualified sales professional who has experience managing and growing a door to door sales team. the candidate will be responsible for recruiting, training, and leading a small team within toronto. requirements- confidence: you have the heart of a lion- passion: you live for sales- knowledgable: experience sclaing door to door sales teams- personable: you possess strong communication skills- hungry: you want to be involved with a tech startup and learn new skills compensation: please contact location: toronto gta targeted start date: immediate"
f,"declara is currently seeking a business development analyst. this position will act as the liaison between the business development and product development teams in the management and creation of proposals. position will support all activities of the sales bid process including rfis, rfps, rfqs, follow up responses, best and final offers, etc. additionally, this individual shall fully understand, continually improve, and promote world-class proposal processes, and information warehousing and database management techniques. key success factors include: ability to determine proposal requirements and confirm adherence excellent written and verbal communication skills (including the ability to translate technical approach into strategic positioning) commitment to on-time performance management of internal and external resources coordination of inputs, reviews, and strategy implementation problem identification and resolution ability to prioritize and juggle multiple projects with competing objectives and deadlines in a fast-paced, high-pressure environment. "
f,"the customer service associate will be based in latham, ny. the right candidate will be an integral part of our talented team, supporting our continued growth. responsibilities: perform various mail center activities (sorting, metering, folding, inserting, delivery, pickup, etc.) lift heavy boxes, files or paper when needed maintain the highest levels of customer care while demonstrating a friendly and cooperative attitude demonstrate flexibility in satisfying customer demands in a high volume, production environment consistently adhere to business procedure guidelines adhere to all safety procedures take direction from supervisor or site manager maintain all logs and reporting documentation; attention to detail participate in cross-training and perform other duties as assigned (filing, outgoing shipments, etc) operating mailing, copy or scanning equipment shipping receiving handle time-sensitive material like confidential, urgent packages perform other tasks as assigned scanning incoming mail to recipients perform file purges and pulls create files and ship files provide backfill when needed enter information daily into spreadsheets identify charges and match them to billing sort and deliver mail, small packages "
f,this is a job description for mentors to the various team leaders at adthena
f,"import•io is on the hunt for a senior developer to join our start-up london based team. we’re looking for someone who loves data, performance and algorithms, and wants to do some truly innovative work in the field of adding semantic understanding to data. you should be totally comfortable with: java the jvm - including nio bytecode and runtime bytecode manipulation modular design patterns, such as osgi web browser stacks - including html, http, and javascript - rhino experience a bonus designing and creating heuristic algorithms in the field of pattern recognition, both in structured and unstructured data studying and optimizing existing algorithms data-driven approaches to optimization of code and algorithms machine learning based pattern recognition feedback loop algorithmic approaches linux "
f,"position: junior product manager job type: permanent location: cambridge, uk a junior product/ business analyst to join a product management team. a technical with a solid experience in data networking, interfaces and software development. the role will involve: assist in the functional documentation of the architecture and feature enhancements with the product management team, product architects and development team. map out the functional and feature requirements for the evolution of the product with view on competitive positioning and unique selling points. use case actor analysis of features and requirements. work together with the technical authoring and marketing teams to create documentation and marketing tools for product collateral. assist business development pre-sales organizations in alcatel lucent local units/regions in customer technical presentations; support pre-sales teams with gathering and defining customer requirements to complement and strengthen the product roadmap "
f,"an estimator is responsible for subcontractor solicitation and pre-qualification, scheduling, quantity surveys, developing scopes of work, estimate preparation, and job hand-off to project managers. proficient use of ost (on screen take-off) and excel is beneficial. the ability to learn new computer software is required. must possess strong communication and interpersonal skills and be comfortable working with architects, owners, and subcontractors. must be detail oriented and organized. this job will involve the use of a computer program, ost, to do detailed takeoffs of countertops, panels, and trim in many different types of construction. this will include large apartment projects, hospitals, schools, restaurants, and possibly some single family homes."
f,"about the company transferwise is a vc-backed, international money transfer start-up co-founded by skype’s first employee and backed by some of planet's most experienced innovators, including sir richard branson and paypal founder peter thiel, we're disrupting the world of currency international money transfer. that means flipping a gazillion dollar industry on its head and taking power away from banks and the establishment. from the tea building in shoreditch, we're starting a little revolution. we're using technology to allow people to send money abroad without incurring punitive bank fees. the trouble is, banks are very good at hiding their fees, so a lot of people have no idea that the banks are ripping them off. we need someone to help us run educational campaigns for proper transparency. we're already making progress. the times said we pose “a challenge to the banks”, city a.m. said we’re “transforming how we transfer money” and the telegraph said we’re set to “spark a revolution”. about the role: we're looking for someone confident with great research and writing skills to support our communications team. things you’ll be doing: researching the ins-and-outs of international money transfer supporting a public affairs campaigns developing our stakeholder programme "
t,"offering cash positions, immediate start.work as many or little hrs as u like, no cost.you can earn $300 to $400 extra a day.no experience required for this job.join today and start earning.suitable for everyone.apply today, visit here:- "
f,"credit karma inc. san francisco, ca banking - financial servicesexperience required:3-6 yearseducation required:bachelors degreejob description:we were founded in 2007 on the simple idea that credit scores should truly be free and available to all consumers. our aim is to educate our members about their credit and empower them to use it to their benefit by showing them that good credit leads to great financial opportunity. we provide millions of consumers’ financial peace of mind by tracking their credit and finances all in one place for free. since the site launched in 2008, we've provided free credit scores to millions of people and helped our members save millions of dollars. and the good news is that we're still going strong! our member base has grown by leaps and bounds in 2013, and we're always looking for talented and inquisitive minds to join us. if you want to be a part of a thriving team in the heart of san francisco, we'd love to hear from you!job responsibilities:credit karma is a funded financial service startup located in sunny downtown san francisco. we have millions of members and a 4.8 star android app with hundreds of thousands of downloads. now we're looking for a senior android engineer to help take our mobile app to the next level.you will get involved early in the product development cycle, working with a product manager to lay out features intelligently. you'll be in charge of all aspects of your project - you'll figure out how it should be architected, design the data schema, write the code, and make sure that loose ends are tied up. along the way, you'll coordinate with our qa team to make sure your feature is correctly tested."
f,"we are a small team joined around an old and successful product which is used by companies in sweden and finland and helps our customers to reach their employees and make sure there is someone to do the job. we are looking for a team member to empower us with selling capabilities and to help us expanding to new markets, developing our product in a way it helps more and more people. we value both helping others to do their job by utilizing capabilities of internet service and developing ourselves by incorporating new knowledge and techniques into the product on regular basis. so far our sales have been pretty sporadic but the time has come to take it more seriously and lead us to new heights. responsibilities you are going to be our sales department and even get possibility to build you own sales team in the future if you wish so. you will be working both with direct sales and building different sales channels to spread our word to the people. today your key responsibilities are: finding new customers you will be looking for companies who want to use our service for scheduling and reaching their own staff as well as finding new employees from our global pool. you will be also creating an interest for people to join our global pool. packaging the solution you will be creating a package to sell to our customers including all required sales materials, elevator pitches and presentations. we rely on you coming with suggestions for our landing page to become more attractive and with any other initiative about how to make our product better and more beneficial for our customers. keeping contact with existing customers we expect you also to take on the responsibility to keep track of existing clients and to become aware of their needs to have a consolidated view of the product and become source of information about the most crucial and expected features."
f,"we're looking for a lead ux designer to join our consulting team. this is an opportunity to lead the user research and interaction design work on web and mobile applications. you'll get to work alongside a team of brilliant writers, editors, developers and graphic designers on projects for some of the best companies in the world. what you'll do as a lead ux designer, you'll split your time between: user research— you'll be responsible for finding out what users need. you'll conduct usability tests, diary studies or whichever research technique you decide is appropriate. you also need to ensure that user research makes a real difference in the rest of the project. interaction design— you'll define the flow, screens and interactions of web and mobile applications. you'll often define these designs in collaborative design workshops with our clients, and will be responsible for communicating those designs in a specification to the rest of the project team. leadership— you'll lead the ux work on projects as part of a multidisciplinary team and help manage the relationship with our clients on projects and across larger programmes of work. you'll also help mentor less experienced staff and develop their careers as ux professionals. outside of these core activities, you will be expected to contribute to the wider operations and life of the company as you grow into your role. this may involve participating in the sales process, working to improve our ux services, writing for our blog or speaking at ux events.you'll also confidently demonstrate the following personal characteristics: strong communicator — you must have the ability to articulate complex ideas and concepts in a simple and straightforward manner. relationship builder— you understand the importance of building a strong, trusting relationship with our clients, because that's what they are really buying. gets things done — good solutions are useless if they are not delivered on time. you must get things done well and on time. prototyper — you understand that you can't design an interactive application in a series of static wireframes. you build to think using html, axure, paper or whatever it takes to help you understand the interaction. technology savvy — this is not a technical role, but you must be comfortable talking to our clients and development teams about web and mobile technologies. "
f,"call center agents ο ά έ ύ ά ί έ ά, 4, 5, 8, ά, ά "
f,"at least 5 to 8 years of experience in the following: experience and skill in analyzing business requirements, developing new and revising existing computer programs and systems;executing unit test procedures; and producing requiredprogram and project documentation experience in performing formal peer reviews and validations and providing written feedback extensive skill in effective verbal and written communications with other computer professionals and clients experience in developing applications usingwebsphere portal applicationandwebsphere application server experience in business rules development usingwebsphere operational decision maker experience inbuild and deploy processes and scripts(build forge, maven, ant, etc.) experience usingrational clearquest and rational clearcase "
f,"understand and reach. apcera is building the modern enterprise it platform. driven by policy, the solution delivers revolutionary technology along a customer's evolutionary path, unifying it to go faster, safely. all at enterprise scale. as a technical solutions engineer, you'll be thoroughly versed in product and technology domain knowledge. you will use that knowledge to support the sales team in its efforts to drive sales cycles. you will help sales engineers in the field by building and delivering product demonstrations and proof of concept environments. you'll lend your expertise in apcera continuum and application platform knowledge to educate and enable. you'll be the glue between apcera's technical sales force and product and engineering teams. you'll play a key role in ensuring apcera achieves its revenue goals."
f,"for august 2015: early years and primary teachers - five positions available. the successful candidates will be outstanding teachers, creative, good humoured and hugely committed to the development of our school. the ideal candidate will be experienced in teaching a thematic and creative curriculum. enthusiasm, energy and a commitment to working within the ethos of our lasallian school are essential. you will be ambitious for the children and excited about the opportunity to make a major contribution to their wider development. wonderful children, an attractive salary and benefits package and a team of very supportive colleagues are guaranteed."
f,"oversee the planning, implementation and tracking of single or multiple client projects from beginning to end. the project manager, working as part of the project management group within professional services, will oversee the planning, implementation and tracking of single or multiple client projects from beginning to end, including responsibility for project scope, costs, and deliverables. the project manager will have the ability to manage and implement projects from initiation to final operational stage. ability to lead empowered, matrixed, virtual teams to include logisense, client and potentially 3rd party personnel. ability to develop, administer and control the budget and pl for the project. ability to work flexible hours as required (some travel may be required). success is driven by exceptional people. we are a growing, dynamic company with a great work environment, opportunities for advancement and leading edge technology. we’re looking for exceptional talent and offer competitive remuneration including benefits and employee recognition. let’s win together.your main duties would include: ensure definition and approval of project scope, deliverables, desired quality, business realization and measures of success develop project plans that effectively align scope, time, cost, quality, resources, risk, communication and procurement in a manner that enables highly coordinated execution and control determine and secure business resources to satisfy project deliverables report on planning, re-sourcing and pacing for projects and resources impacted by cross-functional projects leadership, influencing, and facilitation skills to coordinate and direct effective meetings for project teams effectively and consistently manage project status reporting updates on project accomplishments against milestones monitoring all projects results for significant deviations and ensuring development of contingency plans where necessary monitor appropriate risk management practices throughout the project life-cycle ensure that change, acceptance and approval management is pro-actively and effectively managed on all projects ensure that appropriate processes, tools and techniques are used by the project teams ensure that timely communication occurs between project teams and their stakeholders pro-actively escalates project issues and risks that require executive attention "
f,"are you the goto technical guru? you know the one that you call when your laptop just turns off with a full-battery or your dsl is slower than traditional mail. are you the one? if so, we are looking for a customer service oriented it technical support generalist to provide technical support to users in windows and mac environment efficiently and timely. you will be considered as atlas' key internal technical interface solving basic technical problems and delivering support solutions. responsibilities perform basic business and system administration task maintain network and pc maintenance support and maintain user account information including rights, security, email and systems groups setup and install desktops, laptops, tablets, office phones, smartphones, printers, etc. participate as a resource in implementation projects assist in application testing provide end-user documentation work with external vendors to resolve issues that internal resources cannot follow up with end-users, provide feedback and see problems through to resolution recommend procedure modifications or improvements ensure confidentiality of sensitive and proprietary information preserve and grow your knowledge of technical procedures, products and services "
f,"ripple is looking for a human support specialist (otherwise known as a level i support engineer). that means you probably have 1-3 years of it experience, and you graduated from college. you are definitely enthusiastic about both people and it. here’s the mission of the job, and what you can expect. the salary range is between $29-32k. mission for ripple support engineer:to make ripple clients feel human, especially when they are having an it problem. to solve problems - and prevent future ones - using smart thinking. to become a better person in the process, and help us become better people for knowing you. the values we live by: freedom to kick ass.we value freedom whenever and wherever possible. freedom to work where you get your best work done, freedom to challenge your peers and clients, freedom to become the best person you can be. articulate communications.we communicate clearly, candidly and use language that clarifies. we do so with warmth, humor, and kindness. caring comes first.teddy roosevelt said it best: “no one cares how much you know, until they know how much you care” elegant solutions.every problem has 100 answers, and probably 10 solutions. only 2 will be elegant solutions. we strive for the elegant ones because they are the ones that are worthy. style in all things.we can do things with a little flair and design, or we can be like everyone else. we choose the former."
f,"if you are looking to join a group of enthusiastic and creative individuals with a ceaseless thirst for fresh new ideas, look no further than locish. locish always keeps an eye out for determined individuals who are inspired and willing to share their skills and knowledge. whether you are a recent graduate, a professional with years of experience, looking for a job now or keeping your options open for the future, we’d love to see what you have to offer! even if we don’t have availability for you right now, we’ll keep you in mind for future openings. apply for locish and who knows; perhaps you’re the missing link we’ve been looking for. for more information click  "
f,buyer will be in charge of expanding our vendors and managing our purchasing network. 
f,"the customer service associate will be based in salt lake city, ut. the right candidate will be an integral part of our talented team, supporting our continued growth. responsibilities: perform various mail center activities (sorting, metering, folding, inserting, delivery, pickup, etc.) lift heavy boxes, files or paper when needed maintain the highest levels of customer care while demonstrating a friendly and cooperative attitude demonstrate flexibility in satisfying customer demands in a high volume, production environment consistently adhere to business procedure guidelines adhere to all safety procedures take direction from supervisor or site manager maintain all logs and reporting documentation; attention to detail participate in cross-training and perform other duties as assigned (filing, outgoing shipments, etc) operating mailing, copy or scanning equipment shipping receiving handle time-sensitive material like confidential, urgent packages perform other tasks as assigned scanning incoming mail to recipients perform file purges and pulls create files and ship files provide backfill when needed enter information daily into spreadsheets identify charges and match them to billing sort and deliver mail, small packages "
f,"conversocial is a rapidly-expanding tech startup, growing its london and new york offices on the back of $4m venture capital funding. to cope with the increasing complexity of our global business, we are looking to bring all day-to-day accounting and book-keeping functions in-house, having outsourced this to an external accountancy firm since we started out. while it is important that the applicant is suitably trained in accountancy, we are looking for someone who can also become an important part of our wider operations and help keep order and provide useful reporting and financial guidance to the business as we grow beyond our current 30+ strong staff. key aspects of the role: invoice enterprise clients for our software-as-a-service verify bookings made by our sales team, track signed contracts produce monthly management accounts report on debtors, and chase debts to keep amounts outstanding to a minimum reconcile bank and credit card accounts monitor cashflow forecasts set up weekly pay run, quarterly vat return work with others: help department managers track and comply with annual budgets work with our cfo to refine our forecasting and reporting liase with external accountants for annual accounts and other specialist functions such as rd tax credits work alongside part-time outsourced us hr/book-keeper to incorporate accounts from our secondary us office streamline business processes: keep track of supplier rates and contracts, ensuring we can maximise our purchasing power and cashflow advantage refine staff expenses rules, plus process to approve and reimburse ensure staff payroll and pension runs smoothly, managing communications to employees as the ideal candidate, you will intuitively understand where strict process and procedure can help things move more efficiently, and where they can just be a nuisance that stifles innovation and growth. you will be sufficiently interested in the business itself to make decisions largely autonomously and for the benefit of the company. conversocial prides itself on being a great place to work, and you will have the opportunity to impact every other function in the business - so a friendly, personable, and considerate person will enjoy this role. we use xero web-based accountancy software. internally we use salesforce, and intend that you would help ensure our financial data is readily available to the rest of the company through that. good spoken and written english is important, as are excel and general it skills. we are happy to consider any relevant qualifications from enthusiastic candidates (including part-qualified) with the potential to learn quickly. "
