fraudulent,requirements
f,bachelor of science degree or equivalent experience 8+ years experience with c++ 5+ years of work experience understanding of templates and meta-programming ability to design domain classes and interface with legacy libraries knowledge of capital markets distributed and parallel computing gpu experience 
f,"the qualifications for this position are: a college degree, a bs/ba with coursework in business is preferred or equivalent work experience three to five years of experience directly related to sales and finance is preferred or one year of previous management experience strong sales and customer service skills – must be sales and customer service oriented strong verbal and written skills are required proficiency in excel and microsoft word ability to train, develop and motivate our staff strong organizational skills must be able to multi-task and be flexible regarding your schedule and workload a self-starter who can work with minimal supervision must be a solutions-oriented individual ability to work well with others "
f,nann
f,"you will fit well if you are ambitious and razor sharp with tremendous potential you have a burning desire to use data and analysis to change the financial services world you like finding new, better solutions to “solved problems” you thrive in dynamic, fast paced, results oriented environments you will experience an early stage startup culture in a truly diverse and international environment. we believe in good team chemistry, flat hierarchy, enthusiasm for creating things, and our surprising capacity to learn new things when we stay humble and open-minded. a quantitative education background and english language proficiency are helpful desired skills and experience for this role, raw talent and horsepower matter more than industry specific experience we have roles to fill from fresh graduates to up to 4 years of professional experience bachelors degree in any analytical/quantitative field (business, math, economics, finance, statistics, science, engineering, philosophy). mba preferred you are experienced with basic programming or scripting for experienced candidates: 2-4 years of experience in complex, data-driven problem solving top 1% quantitative analytics skills strong interpersonal and communications skills "
f,"bachelor's degree- business, marketing, communications a plus 1-3 years internet or interactive marketing experience must be proficient in microsoft word, excel, and outlook strong communication, team relationship, organizational and analytical skills. strong multi-tasking skills great can-do and winning attitude ability to prioritize work assignments, critical tasks, and routine work in order to maximize results "
f,"essential excellent communication and negotiation skills a team player with the ability to manage and prioritise changing work load passion about working in a fast paced start up environment self-motivated, eager and independent excellent verbal and written communication skills highly organised, methodical and productive able to multitask and work effectively towards deadlines great stakeholder awareness "
t,nann
f,"a university degree with a technical focus: computer science/engineering or equivalent relevant professional experience excellent knowledge of advanced xhtml, html5, css, css3, javascript and jquery a good understanding of web/mobile ux/ui experienced with drupal theming eager to discover and use new technologies skilled with photoshop and converting psd into code excellent communication skills in english is essential, german is a plus "
f,nann
f,"6-10 years of comprehensive csv/software qa experience, including: leadership of computer system validation programs and projects, including development of risk-based validation strategies development and implementation of software quality assurance procedures, such as risk assessment, change control, vendor management, defect management, and configuration management delivery of training in software quality assurance and validation subjects auditing software quality and validation practices expertise in software quality assurance and validation regulations (e.g., us fda, eudralex), international guidelines (e.g., pic/s, ich, who), and industry standards (e.g., gamp) 6-10 years of delivery of computer system validation documents, including validation plans, validation reports, test protocols (iq, oq, pq), trace matrices, in a broad range of situations, such as: experience working with multiple fda-regulated industries sectors. (e.g. pharmaceutical, medical device, biologics, clinical trial and/or software vendors for these industry sectors); experience validating multiple categories of software. (e.g. laboratory, manufacturing control, clinical, medical device, inventory management, quality management and/or pharmacovigilance); experience validating custom developed software, configured software applications and hosted systems excellent interpersonal, verbal and written communication skills, decision-making skills, business understanding, and strong organizational skills ability to work in an action-oriented, fast-paced and rapidly changing environment ability to lead virtual and global teams ability to travel as needed for the position praxis life sciences is an equal opportunity employer qualifies candidates must be legally eligible to work for any employer in the united states."
f,"5+ years of professional experience in management of wide-coverage sem-campaigns have already gained experience in team leadership expertise in handling the tools and technologies used in the sem-context (bid-management, tracking, adwords bing editor, analytics, adwords for video…) excellence in thinking analytically and structurally handling numbers thorough knowledge in microsoft excel in connection with complex data of relevant kpis fluent in english, one more european language is a plus strategic, proactive, data driven and highly collaborative strong planning project management skills hands-on think outside the box mentality "
f,"who we're looking for: you must possess great people skills. you must demonstrate excellent work ethic. you must have a positive business attitude like the rest of our enthusiastic staff. you must be confident you'll be successful, just waiting for a career opportunity where you can prove yourself."
f,you live in london you have previous experience as a community manager (or tell us below why you should skip this requirement) you have experience creating viral campaigns brilliant communication skills - both written and verbal experience co-ordinating or managing a team you love meeting and learning from people and take pride solving problems you love live music and gigs ability to work both at the dice office and outside you must be able to work during the evening and weekends excellent decision-making skills whilst working under tight deadlines 
f,nann
f,nann
f,"requirements manages multiple individual proposal processes through completion, including proposal outlines, compliance matrices, proposal development plan, and writing assignments read and interpret solicitation to identify critical items required for a compliant response responsibility for content messaging, appearance of the final proposal product and the on-time delivery of all projects within direct responsibility collaboration with sales team to gain an appropriate understanding of the sales strategy and ensure the response clearly conveys the proper business perspective, key messages, value proposition, and differentiators against our competition apply project management techniques to control scope and schedule performs technical writing, editing and proof-reading as needed prior experience writing sales proposals valued over $500k is highly preferred. candidates should possess a strong understanding of company structure, service offerings, brand identity and corporate philosophy. candidates for this position must be extremely detail oriented, organized, have the ability to multi-task and operate with a sense of urgency. exceptional customer service standards and time management skills are a necessity. this position may require travel up to 25% of the time and often requires extended hours due to deadline constraints. experience bachelor’s degree in finance, economics, business administration, accounting or engineering business analysis experience strong financial modeling and valuation experience demonstrated aptitude for managing and prioritizing multiple projects and initiatives strong problem solving and research skills adaptable / flexible: open to change in response to new information, different or unexpected circumstances, and/or to work in ambiguous situations accountable, dependable, and organized strong oral and written communications skills strong interpersonal and leadership skills ability to work in a cross-functional environment bonus points you love data — you want to measure everything, and have a nose for what questions we should be asking to get the data we need. you’re an entrepreneur at heart – you can be resourceful and creative to find the best solution that gets the job done. jira experience spanish language proficiency educational assessment, psychometrics and/or education-tech experience "
f,"minimum requirements: minimum of 6 months customer service related experience required high school diploma or equivalent (ged) required preferred qualifications: keyboarding and windows environment pc skills required (word, excel and powerpoint preferred) experience running mail posting equipment a plus excellent communication skills both verbal and written lifting up to 55 lbs with or without accommodations willingness and availability to work additional hours if assigned willingness to submit to a pre-employment drug screening and criminal background check ability to effectively work individually or in a team environment competency in performing multiple functional tasks ability to meet employer's attendance policy "
f,experience with b2b software saas businesses
f,dedication to quality-oriented practices like code reviews and pair programming masters/doctorate in computer science 5+ years of experience experience with agile methodologies and fast paced / startup environments contributions to open source projects 
f,"requirements: knowledge ofelectronic media delivery products and the market sector. familiarisation with communication/network product development and development processes. understanding of video integration, codec’s, ip network delivery challenges and architecture. previous experience working with in a product specification or a test case development role. know and understand video and media delivery technologies to pc/mobile/stb environments. if you are interested, you can send your updated resume. my contact details are as follows: email address:email_2bc07ff020c5910d791b7575abacd65cdafebec129b019863b8c3141883b1d74 contact number:+44 2071 935 362 "
f,"dynamic ability to build relationships with clients, subs, and suppliers an interest and desire to learn new technology on a constant basis must be extremely detailed manage project cost must possess good communication skills team player bachelor’s degree in construction management, or related field preferred conceptual and hard bid skills minimal to no travel necessary, depending on where project is located and stage of work eoe- m/f/protected veteran status/disability "
f,"requirements - must haves: research experience. you can cut through the plethora of information on the internet to find concise answers to questions excellent writing skills. you’ll be able to turn complex concepts and jargon into simple, compelling prose confident with numbers. you can mine, crunch and work magic with data to tell a story meticulously organised. you’ll have a schedule for the schedule and keep to it a “must change the world” attitude desirable - nice to haves: experience working in the public affairs environment – be it working for an mp, a think tank or a public affairs agency campaigning experience if you think you fit the bill, please apply through our website to donata huggins, attaching a cv and cover letter. we'll do our best to reply to everyone, but forgive us if we're inundated and can't get back to unsuccessful applicants "
t,only basic knowledge of computer and internet required.
f,• proficient in native android application development. android sdk expertise required.• experience delivering at least one major android application that is still available on google play.• 5+ years professional experience in mobile application development.• strong understanding of security and performance fundamentals required.• additional experience in ios development highly desired.• familiarity with git and/or jira is a plus.• experience working on web application apis in a language like python or php is also a plus.• familiarity with one or more android graphics libraries
f,we expect you to have good english- and swedish-speaking skills as well as some experience selling an internet service.
f,"a degree in a relevant discipline or equivalent work experience in both user research and ux design. 5+ years work experience in a ux role. you've led teams on ux projects. bonus points: the teams you've led included engineers, writers and people from other disciplines. you've helped manage relations with client stakeholders. you are already eligible to live and work in the eu. "
f,αί πό: αή λί / ή αώ σή αέ ό ί ή ί πό έ ά ή η/υ εά πό: πύ ή ί έ ή ί ί. 
f,nann
f,"responsibilities: provide expert assistance and support by clearly articulating apcera’s technology and product capability assist in responding to customer requests for information and proposals build the product demonstrations that help apcera communicate continuum's value to customers execute product proof of concept activity designed to prove out both the technology and the value the technology delivers provide enablement to the technical sales force on the continuum product itself and the application technology stack collaborate regularly with product management and engineering to gain product knowledge and provide feedback on product capability and direction provide post-sales technical support desired qualifications: 3+ years developing multi-tier applications, especially as a consultant with customer facing responsibility experience in web development, working primarily in a language/framework such as java,  , or ruby on rails knowledge of go and core concepts experience working with distributed systems ability to author effective answers to technical questions contained in customer requests for information excellent written and verbal communication skills self-motivated and a self-starter, comfortable working autonomously with basic direction and objectives a bachelor’s degree in computer science, engineering, mathematics, related field or equivalent experience talk with us to learn more about what we're doing and why it matters. we'd love your help to get better, faster."
f,relevant degree and teaching qualification at least three years teaching experience international teaching experience (preferable but not required) ability to work and reside in singapore. applications from teaching couples welcomed 
f,"position requirements: project management experience with proven results (min 5 years) sound knowledge of project management techniques, tools and methodologies proven experience leading and managing $1m software implementation projects ability to handle multiple projects, deal with changing priorities and ambiguity demonstrated problem solving capabilities demonstrated efficiency with facilitation and presentation skills proven effective relationship skills with demonstrated ability to influence others successfully pmp certification or demonstrated similar training and experience strong interpersonal and communication skills positive, energetic attitude proven experience in effectively working with it teams some travel to client locations ability to manage a flexible work schedule considered assets: billing oss market experience business analysis experience technology experience experience in agile development sdlc "
f,"two-year or four-year degree in a technical field such as computer science, management information systems, information technology or engineering 3 - 5 years of relevant technical support experience with dsl, isp, tcp/ip networking and related network services (i.e., dns, smtp, dhcp, etc.) working knowledge of basic os system administration (i.e., unix and/or microsoft) of databases and sql knowledge of configuration and troubleshooting of mobile device hardware (windows, ios, mac os x, android) familiarity with it support industry and its' concepts, practices and procedures experience with installation, configuration and troubleshooting of audio/video equipment including teleconferencing ability to lift at least 50 pounds experience focusing on user-software test evaluation / operational methodology in a networked environment is strongly preferred "
f,"the kind of stuff you’ll do: help people having problems with their mac, pc, or smartphone - on the phone, by email, and in person. everything from outlook to photoshop setup new macs, pcs, and smartphones. perform software installs and upgrades work on projects like server deployments, network setups, and voip migrations help people sort out issues with email and web hosting how you will know if you are successful: ripple customers will sing your praises often. they will say things like: “pat is so friendly.” “pat is so helpful.” “pat helped me understand something technical without sounding technical.” “pat never speaks down to me.” your fellow ripplers will sing your praises often. they will say things like: “i know i can always go to pat for help.” “pat is a real self-starter.” “pat listens to me.” “pat is fun.” “pat just gets the job done.” what you need to bring: ability to communicate empathetically, logically, and clearly in a boatload of different situations. calm under pressure, graceful under fire, and able to bring the funk at all times natural troubleshooting skills ability to find answers unquenchable desire to grow - personally, and professionally a “roll up your sleeves and let’s get to it” work ethic bachelor's degree both mac and pc skills organized enough to read - and create - documentation linux and web hosting support experience a plus "
f,nann
f,"skills required: ms-office excellent experience in food industry, wholesale (retail experience will be pointed out) english language excellent. "
f,"minimum requirements: minimum of 6 months customer service related experience required high school diploma or equivalent (ged) required preferred qualifications: keyboarding and windows environment pc skills required (word, excel and powerpoint preferred) experience running mail posting equipment a plus excellent communication skills both verbal and written lifting up to 55 lbs with or without accommodations willingness and availability to work additional hours if assigned willingness to submit to a pre-employment drug screening and criminal background check ability to effectively work individually or in a team environment competency in performing multiple functional tasks ability to meet employer's attendance policy "
f,nann
f,"be elegable to live and work in the uk. preferably hold an svq in health and social care or equivalent. ideally have experience in supporting others. or have skills or experience working in a similar role. be able to work a minimum of 20 hours per week., including evenings and weekends. due to the intimate nature of the job we require all staff to undergo a pvg check. "
f,"we're looking for a lot. firstly you need to have: great taste and style, a passion for digital / ecommerce, fashion and design energy, tenacity and ambition. you're motivated to get things done yourself and learn a great deal common sense and smarts flexible working style someone with entrepreneurial zeal - your ambition is to one day run a business an understanding of people and what they want ideally, you've also got a couple of these things: front end coding skills - html, css, jquery web design skills - adobe suite ideally an understanding of product development and how people use the internet ecommerce platform experience - spree, woocommerce, magento... experience in testing and optimising ecommerce sites with tools such as optimizely, test and target or bandit testing platforms such as myna. a passion for copy and writing some experience or a passion for social marketing you can speak german "
f,"2+ years experience in delivering hosted application services professional experience in cross-functional project management experience in customer facing roles expertise in measuring, tracking and benchmarking sla metrics knowledge of monitoring and reporting tools (splunk, appdynamics) understanding of jee-based application environments a plus very good english - we are an international company (no german required!) "
f," high school diploma/ged one (1) year customer call center experience is desirable. tech savvy with a strong understanding of communication networking components such as video, data and voice services. must be able to utilize a headset and sit at a workstation for extended periods while working at a computer terminal assisting customers. ability to troubleshoot while utilizing various computer programs to resolve customer issues must have strong interpersonal, verbal and written communication skills ability to relate professionally to all levels of staff and management ability to convey genuine empathy and handle difficult or agitated customers willing to work a scheduled full time and/or part time shift that may include day, evening, night, weekend, split shift and holiday to facilitate sunday through saturday 7am – 11pm. these hours of operation are subject to change at any time."
f,"desired skills and experience directly sell bcv services to hotel resort prospects in the luxury hospitality space. meet or exceed annual and monthly sales targets and quotas. execute a sales plan, generating, and qualifying leads. build sales pipeline and win new business byidentifying and closing new business opportunities. build network of contacts to engage new prospects. negotiate the terms of an agreement and close sales. leverage sales experience to build alliances with hotel partners responsible for weekly sales reports and updates. proactively track and maintain all prospect and client activity in salesforce. provide accurate sales forecasts to the vp of sales on a weekly basis. qualifications 5-7 years’ experience in sales of services and related offerings – hospitality experience a plus. solid understanding of the digital marketing landscape including social media digital media. proven strong track record for achieving and exceeding sales quotas. demonstrated success of building a pipeline of new client prospects and sales opportunities and converting to booked revenue. "
f,"outstanding html5, css3, javascript (we use jquery, angularjs and d3.js among other things) with familiarity in cross-browser intricacies some experience in a server-side language (ideally python/django) passion for writing clean, modular, well-commented, readable, reusable code with corresponding tests extreme attention to detail with an obsession for pixel-perfect design ability to think out of the box with a can-do attitude to get things done efficiently experience in google maps and other geo-location based apis strong understanding of software development practices such as agile development/scrum/kanban, debugging, unit/integration testing, behavioural testing and version control (git) the ability to work collaboratively across disciplines including ui/ux design, product development, social media strategy and digital marketing excellent communication skills with ability to articulate technical concepts in plain english to non-technical team members bachelors degree in a technical field. if you’re coming from a non-technical educational background, you must be very analytical and have top notch javascript skills nice to have: some experience in adobe creative suite (photoshop, illustrator, fireworks etc.) and/or sketch experience in seo "
f,nann
f,what you should know: are you a top closer in your market? are you a go-getter and able to market for new business? are you a dedicated customer service oriented title professional? if you answered yes to these questions then we want you! experienced title settlement closer must have a client following/book of business and ability to market must be accountable and must have the ability to change a process or method as needed. ability to market our services. go out and see lot's of potential clients. knowledge of ramquest a plus notary a plus or ability to pass a background check. independent/mobil closer's or mortgage closer's not being considered
f,under the national apprenticeship scheme you must be 16-24 years old to apply for this position. government funding is only available for 16-18 year olds.
f,"bachelors degree in english, communications, or journalism an appreciation of the oxford comma a minimum of 5 years experience in developing technical documentation excellent written and verbal communication skills must be a team player and be able to work under pressure, to targets, and hit deadlines ability to work under minimal supervision in a very dynamic work environment solid understanding of the basic fundamentals of the software development processes and procedures knowledge of agile development environment "
f,"what we like… ruby on rails (preferably 3+) css, html, javascript test-driven development agile/scrum "
f,nann
f,16-18 year olds only. full time availability.
f,nann
f,"requirements: sales, marketing or customer service experience motivated individuals with a positive and fun attitude cell phone internet access valid driver’s license; reliable and insured vehicle "
f,"job responsibilities and duties: - understand, design and implement customer requirements. - work with multiple carriers implementing their specifications and requirements to ensure quality systems. - design systems utilizing das software for small to large complex campus and multiplex environment solutions. - prefer demonstrated skills designing and implementing major oem manufacturers’ networks. (commscope, corning, te and solid) - direct and perform testing of components, sub-systems and system wide networks. - produce test results and appropriate closeout documentation. - facilitate team network meetings, conference calls, site walks, etc. - provide advanced troubleshooting and solutions for network faults, derogation, and/or across multiple platforms affecting networks. - lead multiple teams and projects of various sizes 0-6 h/c on average. - develop, seek and provide cost estimates and quotes/bids. - order and maintain project schedules. - ensure quality is exceeded at every level. - some travel may be required. education and expertise: • level 1/2 ibwave certification preferred. • oem certifications in the following networks commscope, corning, te and solid highly desired. • carrier certification highly desired. • bs engineering or equivalent experience. • test equipment certifications are preferred for various fiber, pim testing devices, otdr’s, jdsu, spectrum analyzers, agilent, etc. • demonstrated ability to organize and communicate across differing organizations up and down effectively and clearly. • must have knowledge of carrier rf principles and how they are applied. • 1-3 years of demonstrated das experience and technical progression. • must clear mvd, background, and drug test requirements. • position is based in phoenix, arizona and no money has been allocated for any type of move or move requirements."
f,nann
f,"gender: female start month: august 2013 must be a citizen of uk, ireland, usa, canada, new zealand, south africa or australia. must speak write english to mother tongue standard. must hold a minimum of bachelor degree. must hold a tefl, tesol or celta certificate. minimum of 2 years full-time teaching english. must have excellent communication skills. must have good working knowledge of it. should provide copy of academic qualification certificates. should provide a satisfactory medical report (form supplied by the consulate) duly completed by a competent medical authority. "
f,nann
f,"the experienced recruiter will need to have a solid background in winning new business and excellent relationship building capabilities. experience in recruiting into the it market is desirable but not essential, recruitment experience is a must. we are a busy and hard working office, so we need someone who is passionate about their job and isn’t afraid to go the extra mile when required. "
f,"basic qualifications•demonstrated ability to work in a fast-paced environment with recurring deadlines.•demonstrated excellent communication skills, and strong conceptual and analytical skills.•demonstrated advanced ms excel required•demonstrated ability to work on multiple tasks simultaneously requiring strict adherence to schedules.desired qualifications 4-year degree in computer science, business, accounting, economics, engineering, or equivalent •demonstrated experience in the operations of or construction of electric facilities related to electric substations and td lines •pmi/aace certification desired.•demonstrated experience working in teams and presentation skills desired.•sharepoint skills"
f,"you fit the bill of aninnovative developer, with deep interest in internet technologies and a passion for building ground-breaking online tools. you are able to give accurate estimations of development times for projects, and organise your time to meet project deliverables and deadlines. you have excellent knowledge and understanding of the dom, html, css and cross-browser support. you are proficient in object-oriented javascript, and skilled in debugging and problem solving. you will love to code, think of it as recreation rather than work, and have a number of your own projects you have done just for fun. you have a sense of humour, are ambitious, and love the thrill and madness of working in a start-up environment "
f,"track record of sales success – b2b or b2c no minimum experience required, but specific industry knowledge is strongly preferred familiarity with product lines and the overall building contractor process is strongly preferred past experience in a production-measured environment, highly desired valid driver’s license, clean driving record, and own reliable vehicle exceptional verbal and written communication, interpersonal and public speaking skills professional appearance and demeanor superior time-management and planning skills excellent attention to detail and organizational skills positive, team-oriented attitude self motivated high school diploma or equivalent; college degree preferred stable job history willingness to travel within territory, as needed automobile and insurances to company standards "
f,"a computer science university degree or equivalent ability to construct an sdk or library, for use within an android application for developers you need to have proven experience with android solid understanding of android human interface guidelines knowledge and experience on location-based services applications, with google maps knowledge and experience on version control systems svn/git familiarity with using server side services/web services; maps, gps services for android apps experience in android push notification services experience with git, mysql, xml, json and web services will be appreciated experience working xml/json and familiarity with rest/soap methodologies exprerience in augmented reality would be a plus "
f,16-18 year olds only due to government funding. full time availability.
f,"responsibilities these are the sorts of things you'll be working on. provide pre-sales assistance for sales opportunities to customers and partners including explaining the cedexis technology stack, gslb solution design and troubleshooting customer configurations. refine and research technical requirements of the opportunity. design solution options in the context of customer workflows and articulate the benefits of cedexis products. act as an interface between the sales organization and engineering to resolve outstanding issues and/or develop new feature requirements. provide reporting and feedback on customer accounts and field activities to sales, product management and engineering. work closely with customers to support the design and implementation/integration of cedexis products. understand the customer’s workflows and business drivers and how to map these to a solutions cedexis can offer. support existing customers. proudly represent cedexis at industry gatherings and conferences. desired skills below are the skills required for this position. please review them carefully. bachelor or masters degree in computer science, computer information systems or equivalent work experience. 2 plus years pre-sales experience with an emphasis on cdn or dns solution engineering. strong leadership skills with the ability to prioritize and execute in a methodical and disciplined manner. set and manage expectations with sales people, customers and prospects. exceptional english language written and oral communication skills. this role requires an ability to understand and articulate both the business benefits (value proposition) and technical advantages of cedexis products and solutions. demonstrable ability to write and maintain your own scripts in any standard scripting language like php, perl, python or javascript. working, to excellent, knowledge of dns, gslb, cdn, cloud and related technologies, specifically:knowledge of how dns is resolved and how dns can be used in load balancing. working, to excellent, knowledge of http, tcp/ip and internet delivery. ability to explain basic to internet concepts to a non-technical audience. ability to set up a caching cdn configuration for a basic web site. some overnight travel is required. "
f,"minimum 2 years of working experience in a digital agency. expertise in social media, online campaigns and web analytics. passion for digital marketing. degree in marketing and technology background would be a plus. "
f,"minimum of 1 year experience working in a sales culture credit union or banking environment is required excellent member service and communication skills ability to cross-sell products and services is key retail/sales experience preferred must have own transportation to travel to other area branches as needed weekly schedule includes 9am – 1pm on saturdays all positions must adhere to standard bsa/aml policies, procedures and processes. employees must demonstrate awareness of business functions and how business decisions affect financial and/or non-financial work results."
f,"minimum requirements: minimum of 6 months customer service related experience required high school diploma or equivalent (ged) required preferred qualifications: keyboarding and windows environment pc skills required (word, excel and powerpoint preferred) experience running mail posting equipment a plus excellent communication skills both verbal and written lifting up to 55 lbs with or without accommodations willingness and availability to work additional hours if assigned willingness to submit to a pre-employment drug screening and criminal background check ability to effectively work individually or in a team environment competency in performing multiple functional tasks ability to meet employer's attendance policy "
f,"you have an entrepreneurial mindset we have a great platform, brand and starting position. the domain of crowdsourcing, innovation and alternate financing is just getting started. combining strategic insights, operational agility and a willingness to create exceptional experiences for our users and customers is key! different partnership models are possible. "
f,16-18 year olds only due to government funding. full time availability.
f,"excellent written and verbal communication skills and capable of dealing with all levels of clients customer facing experience would be beneficial previous experience with saas would be beneficial, but is not essential tech and social media savvy quick learner adaptable positive with a can do, will do attitude. willingness to cover some out of hours support. additional european languages would be valuable "
f,fluent written and spoken english. customer empathy comfortable in a customer facing role with the ability to strike a good rapport with people quickly and easily excellent teamwork and written/verbal communication skills software development in a complex environment obsessed by sensible test coverage knowledge of industry testing best practices and tools knowledge of testing in java and advanced html/javascript environment database experience 
f,"what your typical day will look like typical day-to-day tasks include: setting goals kpis regarding search marketing campaigns. monitoring progress against kpis and proposing all necessary actions in order to achieve goals. setting up google adwords (search gdn), adwords for video (youtube) and facebook ads campaigns. interacting with copywriters to optimize ad copy, landing pages social media integration for search campaigns. analyzing current keywords, researching and recommending new ones where applicable. analyzing our campaigns and landing pages vs the competition. using a/b split testing/tools and conversion optimization techniques. setting up custom reports in google analytics. taking deep dives using advanced segments multi-channel attribution reports. setting up remarketing lists conversion tracking. general requirements at least 2 years prior experience in managing mid large adwords accounts strong hands-on management of google adwords campaigns with a budget of at least 3.000 euros / month proven results (especially with e-commerce / conversion oriented campaigns) managing google adwords in both search display networks hands-on experience with google analytics and especially with advanced features like custom reports, advanced segments, analytics remarketing etc. experience with: facebook ads, linkedin ads, google webmaster tools experience in search engine optimization and link building google adwords certified individual a plus google analytics certified individual a plus seo/sem services setup, monitor, track, and report on paid and organic search metrics, including trend analysis. interact with copywriters and social media experts to optimize ad copy, landing pages social media integration for search engine marketing and seo efforts. linkbuilding strategy and implementation seo technical analysis and evaluation keyword research meta tags copy optimization provide sophisticated services regarding sem including: set up of new campaigns qa creative keyword discovery and expansion top keywords ranking by category roi by campaign, site, and category research and analyze competitor advertising stay up to date on the latest industry developments usability services secondary analysis of data from various sources and analytics platforms design and implementation of data experiments. analysis of the data obtained from such experiments. proposals, based on the two aforementioned analysis steps, aimed at improving the ease of use of the website under focus. email marketing provide insight on the newsletters’ design, regarding usability and task orientation issues. provide google analytics implementations, including but not limited to: url tagging segment creation analyze newsletters’ effectiveness, regarding its various stages (open rates, click data, conversion data etc.), based on data from various sources, such as: newsletter platforms web analytics other 3rd party platforms improvements to e-mail strategy, based on the aforementioned analysis. technical understanding possess general understanding in the areas of web design, html (web authoring) web development and how all areas are integrated in order to deliver a web/mobile project. understand the use of wireframes and flowcharts. maintain awareness of new and emerging technologies and the potential application on client engagements."
f,nann
f,"profile:you have at least one year of experience writing for a daily newspaper or online news provider in the united kingdom . you have some knowledge of and/or feeling for the fashion industry and are interested in the business side of things. you're independent, critical and bold. you're a english native speaker."
f,nann
f,"the qualified candidate must have a team player attitude, the ability to work in a fast paced environment, with heavy phone traffic, a desire to work with seniors and a high degree of patience. experience in health care industry helpful. previous background working successfully in a position that required attention to detail, strong organization skills and excellent communication ability is essential. proficiency in microsoft word and excel is required as well as the ability to multi-task in a fast paced environment."
f,ability to lift up to 50 pounds. familiarity with order of the alphabet must be able to work on feet one marketable superpower 
f,"flash development experience, actionscript game design and development creativity in designing new features and developing ideas around games facebook api and tools experience web-based architectures and technologies (rest, xml, json) multi-threaded / multiplayer environment implementation tcp/udp sockets networking communication fluency in english graphical user interface implementation, animations, visual components work with the graphics team to design layouts in an appealing, intuitive manner game engine implementation and evolution bachelor degree in computer science or softwareengineering multi-threaded / multiplayer environment implementation json/xml 3+ years of solid software development experience, particularly multiplayer games development experience will be highly attractive (only for the senior position) "
f,- sales experience preferred or the right personality.- positive attitude and determined demeanor.- clean cut appearance.- pass background and drug test (no felonies or theft).- transportation a plus- bilingual a plus
f,"the video journalist shall have at least five years of current experience. the video journalist shall perform a combination of services with respect to acquiring news video content, including, researching, photographing, lighting, editing, and producing. t he video journalist shall provide video photography and editing services which go beyond standard camera operation. the video journalist shall be well versed in video photographic styles and techniques while being able to tell a story with pictures. the video journalist shall, when required, serve as a producer for television news and feature stories. the video journalist shall, when required, serve as the video editor with a script timed to video shots, natural sound emerges and actualities, and complete with suggested visual, audio and graphic efforts and/or perform desktop video editing as practical. the video journalist shall be familiar with the agency’s best practices guide and shall adhere to its policies. knowledge of spanish language required."
f,nann
f,"non-negotiables we strive to hire top quality candidates and are unable to compromise on only a few major points: proven track record of leading and working in a team strong character authorized to work in the united states able to get security clearance skills and experience you have a thorough understanding of mathematics, computer vision, and how to handle massive amounts of data. convince us you have enough based on these general guidelines: 5+ years professional experience degree in mechanical engineering or equivalent worked within a fast paced iterative development environment strong communication both written and verbal strong attention to detail with high level of accuracy motivated, self-starter with ability to learn quickly. understanding of vibrations, thermal, and/or pressure vessels. experience with fea software such as solidworks or ansys "
f,"required qualifications: - minimum of one to two years development in java - experience developing java web applications – spring mvc, html - experience developing java batch applications – jdbc, pl/sql"
f,"1 year of roof work, general construction, or carpentry preferred but not required solar experience is a plus must be able to lift 50lbs enjoy working outdoors must be willing and able to climb ladders, stairs, work on rooftops and able to work on your feet for long periods of time excellent verbal communication skills required thrive in a team environment "
