,fraudulent,description
12642,f,government funding is only available for 16-18 year olds. perfect role for school leavers. this is a fantastic opportunity for those looking to start their career in business admin. during the first 12 months you will work towards a level 2 business admin nvq and then you will be kept on in a permanent position. you will be working for rail recruitment agency and the role will involve: -posting jobs -sourcing candidates -building relationships with workers -assisting consultants with admin duties ideal candidates will have excellent communication skills. if you are motivated and career-minded please apply now.
16651,f,"we are an international translation and interpretation agency based in london, uk. we take pride in our reputation as provider of an efficient, high quality and accessible range of foreign language services throughout the uk and abroad. we offer a range of services including face to face interpreting, telephone interpreting, written translation and proof reading. our linguists from all over the world cover all major languages and many local dialects. we are currently looking for freelance face to face/ telephone interpreters to interpret the following languages: arabic amharic lingala oromo portuguese somali tigrinya "
2115,f,"are you looking for exciting opportunities in core product development with a top notch rd organization? does the idea of leading a team to develop cutting-edge, patented controls using javascript, html5 and css3 appeal to you? then this role is for you. we are looking for ui leads who can drive the development of front-end controls and integrate them with proprietary (e.g. sap bi) and open source bi platforms. specifically you will lead a team of front-end developers to develop javascript-driven visualization controls integrate visualization controls with platforms like sap bi using proprietary sdks mentor the team and lead by example by driving best practices in coding, standards, compatibility, performance, documentation and reviews deliver quality products as per estimate plan ensure that deliverables are highly optimized for performance and usability across browsers and devices "
5434,t,"customer service reps needed to take online apps, inbound calls and walk customers through 10 minute overview."
1359,f,"about our beloved company, bottle rocket: bottle rocket is dedicated to creating the highest quality iphone, ipad and android applications and brand-critical mobile solutions on the planet. we believe exceptionally innovative technology not only enhances the way we do things—it redefines the way we live our lives. to us, ios and android are more than sophisticated mobile operating systems—they are game-changing platforms uniting information, instant access and unlimited range to create entertainment and enterprise solutions. we are a rapidly growing mobile strategy, design and development company at the forefront of the app revolution. we literally started the morning after steve jobs’ keynote announcing the iphone sdk and months before the apple app store was even launched. in that time we have grown to a team of over 180 smart, passionate, hard-working rocketeers and released over 150 high-profile, premium brand-critical mobile experiences for companies like history channel, american express, discovery, espn, lego, food network, wwe, pbs, national geographic, coke, nbc universal, npr, chick-fil-a and starwood hotels resorts, as well extremely popular games such as rockpocalypse and annoying orange: kitchen carnage. our apps have been emmy nominated, won multiple tabby, webby and media vanguard awards, are regularly featured in the press and have been awarded more apple hall of fame awards than any other company. our work is used by tens of millions of delighted users every day to connect with the information, brands and entertainment they love. but this is just the tip of the iceberg. now, let’s talk about what it’s like to have a career at bottle rocket: we will never stop pushing the envelope of design, architecture and the capabilities of the platforms we embrace. our future promises continued growth of both our capacity and capabilities in all areas of our business from strategy, creative, engineering, quality assurance, project management, account management and administration and across our core custom design and development divisions (if you can dream it, we can build it) as well our specialty divisions focusing on game development, tv everywhere, enterprise, commerce, publishing and more. if you choose to get to know bottle rocket better, you’ll learn that we are a values-driven business where things like “embrace the impossible”, “take your craft personally” and “serve the user” really mean something. if you visit our studio the first thing you’ll feel is passion. the next is energy and excitement. you’ll see rocketeers debating design issues at whiteboards on nearly every wall, focusing on tough problems in complex code, leading client meetings with the world’s top brands, conducting user testing to find areas to improve our work and creating project plans to release the next award-winning app. you’ll see a 100% mac laptop environment (either 15” macbook pro retina or 13” mac air), electric height-adjustable desks on wheels, seriously robust wi-fi, hundreds of test devices available for checkout, bean bags, booths and 27” apple cinema displays on every desk. with all of this comes another big challenge, embracing the impossible. bottle rocket consistently does what other companies can’t. but this is only possible because of our passion. we know and love the iphone, ipad and android unlike anyone else. we’re those people who stood in line for the newest model. we value aesthetics, ui and uex. we build awesome applications that serve the user and not only exceed standards, but set new ones. we sweat the details. and now we are part of wpp, the world's largest advertising and marketing services company made up of 150 different companies around the world with more than 165,000 employees over 3,000 offices in 110 countries including giants of industry like ogilvy mather, young rubicam, jwt, grey, wunderman and akqa. the partnership is amazing and provides the horsepower for bottle rocket to expand its impact not only in the industry, but also across the globe. so, what do you think? sound like just the thing you’ve been looking for? if so, don’t hesitate, apply now…"
13967,f,"hsaglobal are a new zealand based business specialising in solutions enabling connected care to reduce the impact of the heaviest users on the healthcare system. we have a great team and are passionate about our product and our clients around the world. we have ambitious targets and to help us achieve these we employ leading professionals. we need a senior level developer to take a guiding role in front end development. we are looking for somebody who has skills using microsoft technologies, primarily using c as the development language and ms sql server as the database. you will be able to demonstrate: working knowledge of modern web frameworks and patterns. experience with: , sql, vs2010, vs2012, tfs, web services, restful services, mvc, c .net, css, html5, and javascript. experience with any of the following client-side javascript frameworks – angularjs, kendoui, , twitter bootstrap. a good understanding of client-side development practices allowing javascript to operate as a first-class citizen. a good understanding of mvc concepts. exposure to microsoft team foundation server, git, teamcity visual studio 2012. we are also looking for someone with the right team fit. to join this outstanding team you will need to show us that you are a self-starter capable of working both independently and in a team environment and that you have the ability to prioritise work to meet project goals. you will be an excellent communicator and collaborative worker. having worked in an agile environment would also be beneficial. so, if you want to be part of an exciting and dynamic environment where you can have a positive impact on people’s lives, then we would love to hear from you."
11870,f,"qubit are looking for an associate strategist to join our growing client project team. you’ll get to build relationships with major ecommerce clients across the us, helping their digital teams make sense of the big data era. you’ll be joining a team packed with talent who are more than happy to help with your development. qubit is experiencing a very exciting period of growth, and this is a chance to join the team early. what you’ll be doing conducting analysis and diagnosis of issues and challenges facing our clients ecommerce businesses, such as underperforming conversion rates in mobile, checkout dropout rates and much more identifying, planning and formulating strategic opportunities to help clients improve conversion rates and capture new growth opportunities, for instance the expansion and adaptation of a fashion retailer moving into new territories build long-term, deep relationships at all levels within our clients organisations foster adoption of our products and services throughout customer organisations work with customers to maximize the value of our products to them through in depth training, in person, on client site or in our offices own the customer account providing strategic direction and day-to-day support work with product management and engineering resources to coordinate new feature development, in line with our client needs and to stay ahead of the industry competition mentoring and training junior members of the team - you'lll be working with both executive strategists and the client services engineers identifying up-sell and new business opportunities "
17279,f,"thinkdigital, one of the leading digital marketing companies in ce se europe, is looking for a content strategist that will join its specialized creative studio in athens. the content strategist uses consumer insights to identify, structure and manage engaging and contextually appropriate brand endorsed content that users find valuable and brands effective. the successful candidate will be working along a team of strategists, designers and developers across thinkdigital’s multi-channel portfolio of local and international partners such as facebook, skype, msn. "
3874,f,"atdemo duckwecreate handcrafted explainer videos for companies small and large including netflix, dropbox, lowe's, blue cross blue shield, and more.we're looking for a talented, motivated marketing manager to join our team and help us continue to grow our business. responsibilities your primary role would be to develop and manage a marketing strategy for and . this may include: writing and editing blog posts and social media content managing a content schedule and team of freelance writers producing and scheduling monthly newsletters running a direct email campaign proposing, executing, and measuring new marketing strategies search engine and website optimization secondary responsibilites may include: concepting and scripting videos writing proposals and pitches managing video production projects we're a young, fun, creative startup in the west loop of chicago and we take a lot of pride in the work we do. if you're looking to work in a creative field, like the idea of joining a small team, and aren't afraid of working hard, please apply."
9115,t,"our mission is to help all the world’s people and businesses manage and adapt to climate change. to achieve our mission, we have built a unique technology platform to enable, for the first time, the real-time pricing and purchasing of customizable weather insurance. managing over 200 tb of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than 3 million daily weather measurements, we are one of the largest users of amazon web services. today we are focused on helping farmers protect and increase their profits in the face of increasingly extreme weather. at the heart of the company is our unique technology platform, which encompasses our core competencies across weather monitoring, agronomic modeling, and weather simulation, and accounts for over 200 tb of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than 3 million daily weather measurements. this platform powers the company’s portfolio of technology-based products and services, which are revolutionizing agricultural risk management and farm management. we are leaving a mark on the world in our dna; we want to make a lasting and meaningful real-world impact. we relish big problems because they are the most interesting to tackle, the most rewarding, and typically the most valuable to solve. we also thrive on finding the possible in the impossible. if you are the best at what you do, you like solving interesting problems, and you are looking for like-minded people dedicated to having a major impact on the world, we are eager to talk with you. mobile developer - back end the climate corporation is looking for experienced ruby developers to join our engineering team, focusing on building back end support for the development of mobile applications for growers. responsibilities: what you will do: write highly scalable and robust restful apis to empower our mobile applications. work closely with the ios and android team to ensure seamless integration with the back end. opportunity to learn new technologies and frameworks. what we offer: our team is composed of some of the most brilliant interdisciplinary minds in the industry. the environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible product and experience for our customers. competitive salary, excellent benefits, and some of the best perks in the industry, including: we provide meals and a large assortment of snacks, drinks, fruits, coffees, and teas to help you get through the day. we let you explore personally compelling topics by occasionally taking time to work on independent projects and contributing the results back to the open source community. company sponsored outings, including go-kart races, kayaking, holiday yacht parties, and sporting events, etc. we sponsor hackathons, meetup groups, networking events, tech-talks, and conference trips. if you want to get involved in the tech community, we'll support your efforts. we encourage all employees to better understand our customers by getting out of the office and hearing firsthand from the agents and farmers our products serve. energetic idea-driven work environment with an exciting culture. exciting world-changing opportunity - we are solving problems that have a massive impact on the world! a driven, talented team that aims to make a large-scale impact through an innovative technology platform."
17242,f,"do you have impressive paid search experience working on complex accounts, ideally within an agency environment? are you at a point in your career where you’re now ready to play a key role within a dedicated ppc team that works with international brands and retailers? then consider a move to forward3d. we’re the largest independent digital marketing agency in britain. we’re also a place where careers genuinely flourish, rather than get stifled due to lack of progress or resources. agile, data driven and pioneering, you won’t find layers and layers of management here. instead, you’ll discover a buzzing environment where bright, innovative and visionary people work in small autonomous teams that give them the freedom they need to thrive.right now, we’re looking for an innovative and highly motivated senior ppc analyst with strong technical/it skills and excellent attention to detail, to help drive our vision of paid search to the next level. as well as taking ownership of the strategic client relationship, we’ll look to you to manage a range of resources to deliver effective marketing campaigns and programmes. making sure campaigns are delivered on time and on budget will be key, as will carrying out regular checks for performance against client roi targets. and, when it comes to business development, we’ll rely on you to identify openings in the marketplace, as well as growth opportunities for existing clients. mentoring other members of your team, providing feedback and recommendations to clients, managing budgets and on-boarding new clients – all and more are elements of an all encompassing and pivotal role. "
15997,f,"about servicetitan servicetitan is the world's leading crm software for home services businesses. it powers the world's best service companies, including mr. rooter®, george brazil®, and mr. electric®. servicetitan helps them streamline operations, deliver amazing customer service, and significantly improve sales. born out of stanford university and the university of southern california, servicetitan is home to some of the brightest entrepreneurs in southern california and is one of the most successful software start-ups in los angeles. at servicetitan, you will solve real problems for real customers and help businesses become extraordinary service companies. this is a unique opportunity to be a part of a start-up with a proven product, brand-name customers, and significant revenue... yet young enough to offer incredible growth, leadership, and equity opportunities. about the opportunity as a customer account manager you will become an important member of the core team, influence the company's continued success, and help shape the future of the service industry. responsibilities organize servicetitan customers into appropriate segments for up-selling and cross-selling opportunities. reach out to customers to gather intelligence on how they are currently using our products to determine what features and services are the most/least valuable to their businesses. closely analyze our on-boarding process to identify bottlenecks and opportunities for improvement. coach customers on best practices. identify areas for improvement in the customer experience, both in our product and processes. "
11009,f,"eroad modernised new zealand’s paper-based ruc regime in 2009 with the launch of the world’s first gps/cellular-based road charging system. we're now expanding rapidly into new markets, and are looking for a highly motivated gis specialist to join our team. you should be very competent in designing, developing and maintaining gis solutions using tools like arcgis and postgis. you are comfortable working with mapping suppliers and handling the entire spatial etl process from multiple data sources. you are competent in the area of spatial analytics and reporting or have the ability to grow into and familiar with web map apis like google map api and openlayers."
3055,t,"at puget soundenergy (pse) we have a long tradition of service, and anexciting and innovative future ahead!consider pse for the next step in yourcareer.senior local governmentaffairs representative 68922puget sound energy's local government affairs and public policyteam is looking for a local government affair's representatives tojoin our team! under the direction of the manager of localgovernment affairs with close alignment with other regional teams,this role will be responsible for local government relations withinspecific geographic regions with a focus on government affairsrelated to specific major construction projects and major pseinitiatives. this position will manage a wide range of complexgovernment affairs, customer service, and strategic public policyassignments that include: execution of regional governmentalaffairs strategies; advancing local legislative and regulatorypublic policy; advocacy, coalition building and working with keycommunity leaders.upholds the safety compliance standards inherent in pse'soperating and/or field procedures related to work responsibilities.promotes and supports a culture of total safety.this is an excellent opportunity to play an integral role withinpse to help us better serve our customers and the communities inwhich they live. pse provides an environment where all employeesare valued, respected and provided with the opportunity to achievemaximum performance. we offer a comprehensive pay package thatincludes competitive compensation, annual goals-based incentivebonuses, comprehensive cafeteria-style benefits, 401(k), a companypaid retirement pension plan and an employee assistance andwellness program. gain the energy to do great things through acareer with puget sound energy!primary responsibilities:responsible for assisting across department and acrossgeographic regions.develops and manages relationships with key constituents inassigned geographic territories, including, but not limited to,elected officials, lead municipal agency staff, community leaders,and public affairs groups critical to ensure pse's ability tosuccessfully provide safe and reliable natural gas and electricservice."
3292,t,"greetings from vam systems….. vam systemsis a business consulting, it solutions and servicescompany with operations in uae, qatar, bahrain, usa, australia, singapore india. we offers a comprehensive list of services in the field of it infrastructure management, cloud services, it consulting services, banking, management resources, information technology development, telecom, aviation, retail management egovernment offerings. vam systems is currently looking for oracle developer for our bahrain operations. experience required: 4+years terms and conditions: joining time frame: 2 weeks (maximum 1 month). the selected candidates shall join vam systems – bahrainand shall be deputed to one of the leading organizations in bahrain. should yoube interested in this opportunity, please send your latest resume in ms word format at the earliest at email_b08cf5e4101b4b7b7594fe3081f94f7f9a0f2d6192fb5d4a1a72ecf03c816e83 or call us + phone_b5041ec689d462333be2b4304d3d9ed885fbe8df6ce9e547de2185941442db79. "
2598,f,"best buy is the global leader in consumer electronics retailing, with stores in the united states, canada, china, and mexico. our website, , is among the top-10 retail websites in the united states and we have the number-one customer loyalty program of its kind. each year, we welcome more than 1 billion visitors online and 600 million visitors in our u.s. stores.this unique combination of physical stores, online presence and industry-leading loyalty programs enables us to meet customers when, where and how they want to shop. through renew blue – our multi-year effort to transform every aspect of our business – we vow to be the preferred authority and destination for technology products and services. we are also committed to attracting and inspiring people who want to be a part of this transformation. our employees’ knowledge, passion and commitment are recognized through pay, benefits and other rewards that are among the best in the industry, including an industry-leading employee discount on the latest and greatest products.to learn more about careers at best buy, we invite you to visit "
16228,f,"who are we? vend is an award winning web based point of sale software for retail. we’re chucking out crusty old cash registers and replacing them with ipads, touch screens and beautiful software, all of this to make life easier for our retailers. vend is a fast-growing tech start-up, since launching in 2010 we’ve now got 10,000+ customers all over the world and have more than 100 employees. the story of your role.. we use the latest and greatest tech to bring delight to our customers, and want to add members to our team that live and breathe technology just like we do. our product team has quickly become an integral part of making sure that vend is ahead of the global curve and our marketing team are working hard to ensure we're communicating our rapidly evolving product to our customers, partners, staff, and the wider market. and so the time has come that we need to add a product marketing specialist to the team! as we ramp our our engineering and product capacity, we need an experienced product marketing specialist who can work closely with product managers and the marketing team to develop and deliver kick-ass product go-to-market strategies, differentiate vend in the market with clear positioning, be the expert on our customers and competitors, and enable the sales teams with effective communication and selling tools.we expect capable people, not afraid to roll up their sleeves, take on new projects, and juggle many things at once. in return, you'll have an opportunity to market one of the most exciting tech products in new zealand (indeed the world) to a global audience. to do this, we run a million miles an hour at vend... so you'll need to be prepared to keep up with the pace. as the bridge between product, marketing, sales and customer success, you'll need to be a great communicator, a great negotiator, and know how to get the best out of people to get shit done. as well as developing a world-leading product, we believe that our culture is world-leading too! we balance super hard work with having a lot of fun at work! like playing pool, getting a dia de los muertos makeover, zoning out on the couches listening to music or raiding the snack cupboard (fyi frozen marshmallows are the latest craze at vend - seriously, try them!).we know you have a life outside of work. we know you probably have little side projects or businesses too. this is valued and at vend you can have a life inside work to."
11724,f,"we currently have a vacancy for java/j2ee developer fluent in english, to offer his/her services as an expert who will be based in brussels. the work will be carried out either in the company’s premises or on site at the customer premises. in the context of the first assignment, the successful candidate will be integrated into the development team of the company that will closely cooperate with a major client’s it team on site. your tasks: gathering and analysis of the requirements, prototyping; provision of assistance in elaborating, developing, testing, deploying and configuring the different components of the toolkit; integration with the different layers and components of the applications both front -end and back-end using a mix of software; participate in drafting the technical and maintenance documentation; provision of assistance with training the users of the system and to other team members. "
13348,f,earn 70% of billings (negotiable)flexible work hours!prime location - minutes from the beach!
6974,t,"job duties/responsibilities: serve as the driver of communication and organization of all drilling projects.lead moderate to large complex projects and programs by providing strategic direction to projects, peers, and direct reports.design, develop, and manage project plans in a complex dynamic environment, revising needs to meet changing requirementsensure projects are being documented appropriately to mitigate risk and to be delivered on time.leverage problem solving and influencing skills to ensure project plans deliver on intentpartnering cross-functionally with project customers to provide strategic and tactical thought partnership to effectively drive project deliverybuilding relationships and collaborating with key stakeholders to ensure delivery of commitmentslead a team of project managers."
7364,f,"we currently have a vacancy for a project manager, fluent in english, to offer his/her services as an expert who will be based in stockholm, sweden. the work will be carried out either in the company’s premises or on site at the customer premises. in the context of the first assignment, the successful candidate will be integrated in the project management team of the company that will closely cooperate with a major client’s it team on site. your tasks: manage the development and implementation of an it service management methodology using itil; manage the change control procedure gaining agreement for revisions to the project from project sponsors; provide proposals for project strategies, planning, definition of tasks and deliverables, review of project deliverables, quality control, risk analysis and management, status reports, problem reporting and management systems; participate in functional working groups and progress meetings; estimate timescales and resource requirements for the successful completion of each project; monitor timescales and resources and ensure that delivered systems are implemented; provide effective leadership for the project team ensuring that team members are motivated and constantly developing their skills and experience. "
10521,f,"position title: senior java web developer location: alexandria, va clearance level: public trust key responsibilities: build highly interactive web applications using the latest techniques java, j2ee, jsp, ejb, xml, json, pl/sql, html, javascript) develop high-level concepts for web features and functionality research the latest technologies, best practices and online trends providing guidance to both internal staff as well as clients. improve customer's overall site experience including section 508 compliance optimize html, jsp's and css implementation across all tools. requirements: translate high level ui requirements into technical requirements demonstrate a creative vision for organizing interactive information systems for web portals experience in analysis, design and developing applications such as: java, j2ee, jsp, ejb, xml, json, pl/sql, html, javascript experience in one or more of the following java development frameworks: spring 3.x core, spring 3.x data access and integration, spring 3.x aop, spring 3.x mvc, spring security, hibernate experience with software development tools such as: eclipse, subversion, hudson/jenkins, nexus, maven, pmd, sonar, junit, cobertura/jacoco, checkstyle, find bugs, selenium experience designing and developing web services (ie: restful/json, soap/xml) excellent written and verbal communication skills ability to work independently 6+ years professional experience in software development (jsp, java script, jquery, ajax) candidates must be innovative, creative, flexible and self-motivated experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs preferred: front end application / screen design experience and wireframe notation (compliance, interaction, standards, etc.) experience using the jboss and tomcat web application servers experience with or understanding of cassandra experience with or understanding of sap business objects sdk experience in a unix/linux environment bachelor’s degree in interaction design, user experience design, information architecture, fine arts, human factors, human-computer interaction or information technology with relevant experience preferred "
2652,t,"we are looking to hire an administrative assistant for our growing property management company. a successful person in this role will demonstrate independent judgment to plan, prioritize, and organize diversified workload, and possess strong verbal and written communication skills."
17729,t,we are looking for college interns with the passion to be in the entertainment industry. industry mogul alander pulliam has put together a youth and motivated program for college students throughout the los angeles market. to help college students enrich there knowledge and there experience.
1061,f,"every day millions of developers, project managers and qa engineers are using rhodecode enterprisewhich plays a central role in their professional life to get their job done. if you want to have a real, lasting impact on the way millions of people work andyou are willing to go the extra mile to ship just outstanding work then the following job may be something for you. the positionas part of our product team, you work together with product management to ensure the successful implementation of our product vision and roadmap by our engineering teams. you ensure that we just release the most stable software in a world-class quality.shipping absolutely super stable, reliable software to our enterprise governmental customers all over the world is not only important to keep our reputation of delivering the most secure, most stable software in the market but has real impact on the operations of our customers themselves.our application lifeycle management products are used in production atmission-critical software and infrastructure of our customer base which mostly consists of laboratories,financial institutions, high-tech corporations and military and governmental organizations.in general, it is atechnically very challenging, but also rewarding high-tech position ina small team of gifted a-players."
1935,t,"corporate overview aker solutions is a global provider of products, systems and services to the oil and gas industry. our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. we employ approximately 28,000 people in about 30 countries. go to for more information on our business, people and values. aker solutions is a leading global provider of engineering and technology, products and service solutions to the oil gas industry. at aker solutions we offer an ocean of opportunities. our people are our biggest asset and our business relies on their abilities to win projects and execute them to the highest standards. we are committed to developing our people’s capabilities through challenging tasks supported by excellent training and development opportunities. all our major achievements are team efforts. we are looking for dedicated team players who like to be part of a winning team, who meet challenges head on to serve our customers’ needs.responsibilities and tasks responsibilities are carried out within a centralised structured environment whereby normal management reporting is to your immediate line manager. • executing the development, qualification, implementation, test, and maintenance of hardware/electrical development workscopes.• ensure allocated workscopes are produced within budget and timescale.• assist with estimates of effort and best technical solution• ensure all work activities are in accordance with aker solutions procedures.• produce technical investigations and reports. • working offshore/overseas as the role requires.• identifying processes and patterns of work areas and recommending procedures to improve standardisation and consistency of approach to the manager.• monitoring trends and new products in the marketplace, which could benefit the company, and recommending to manager/lead.• technical overview and control of suppliers supplying hardware/electrical services and equipment to assigned workscopes. work with manager to ensure ongoing, consistent and quality service from these suppliers.• production of drawings/documentation for assigned workscopes within the sap document approval cycle• demonstrate commitment to operating system procedures and the processes of continuous improvement• in addition to the duties listed, the jobholder is required to perform other duties assigned by his/her manager from time to time."
14877,f,"the girl scouts of eastern iowa and western illinois are seeking an accountant for our quad cities office. the accountant performs various accounting functions such as state and federal withholding reports; payroll processing; bank reconciliation; and fiduciary controls. key accountabilities (essential functions): 1) provides accurate and timely accounting services which may include posting, balancing, payroll processing, verifying federal and state withholding reports, bank reconciliations and provide assistance to the accounts payable and cash receipt functions, at peak times and as time permits. 2) process payroll in a timely and confidential manner and securely maintain payroll records. 3) reconcile general ledger accounts and generate monthly journal entries for those reconciliations assigned to the position. 4) audit troop bank accounts, as needed, to assure compliance with council standards and appropriate use of girl’s funds. 5) coordinate and process product sales payments via banking ach transactions and complete reconciliations. 6) process product sale debt using the systems in place to do so, and in cooperation with other departments. 7) prepare and issue certificates of insurance. 8) process girl scouts activity accident insurance applications and claims, workers compensation insurance claims and communicate with parties as necessary. 9) assist the cfo in the preparation of the annual operational budget and cash flow as directed. 10) prepare united way budgets in cooperation with the cfo. 11) serve as the primary contact for assigning and setting up new accounts in the general ledger and reporting systems, and personify (membership and registration system). 12) properly safeguard accounting, payroll, insurance, and bank records."
8494,f,"function we’re more than a normal website – we’re a social community platform with a unified mission to create unexpected ways of online advertising that change brand perception. we’re growing rapidly and have a variety of european and national accounts. we’re looking for someone with experience in selling of online media campaigns for multiple clients that goes beyond the banner. strong interest and an in-depth understanding of the (digital) media landscape, including emerging media and social networking, dedication and the willingness to learn are a must. you will drive online advertising revenues using integrated branding products of netlog for france; you will liaise with new strategic and revenue generating partners; you will translate client marketing and advertising objectives into successful digital media strategies; you will look beyond digital in order to develop the best possible campaign and results for our customers. skills and experience you hold a masters degree; you speak fluently french and english, one of the following is a plus: german, turkish or spanish; you have a proven experience in a similar position (at least 3 years); personal profile you are a true communicator and negotiator; you are result-driven, enthusiastic and highly demanding; you have excellent commercial business skills; you respect deadlines, and you are able to set the right priorities; you are a team player and you enjoy working in various and dynamic teams; you can cope with pressure and tight deadlines; you are willing to travel. "
3042,f,"job summary: plans, conducts, and directs mechanical portion of engineering projects of major significance requiring the application of advance knowledge in electrical/electronic packaging. originates mechanical design and applies new and creative techniques. must have good communication and coordination skills to supply technical advice and counsel to management and other professionals. may represent the company in outside discussions. reports to: mechanical engineering manager job duties: plans and develops mechanical product designs creates, modifies, and maintains product hardware and manufacturingdocumentation directs and leads the assigned project mechanical engineering staff develops and maintains schedules for product hardware anddocumentation development or revision when required plans personnel workload and schedules each job or project monitors engineering cost, product cost, and schedule of assigned jobor project coordinates between departments or assigned jobs and/or projects ensures that all documentation is complete, checked, and approvedon assigned jobs or projects releases jobs on projects to production. acts as mechanical engineering representative in discussions generates engineering change orders (ecos) on jobs or projects asassigned develops the mechanical engineering aspects of quotes including thespecification review with regard to mechanical design anddocumentation and estimating engineering design time to complete. assists in training and upgrading personnel for greater responsibility develops new ideas and concepts for improvement in engineeringoperations travel requirements: travel as required for training, support of project tasks, product issues,or other design or job related needs education/training: b.s.m.e. degree or equivalent "
8838,t,"being part of the novation team means opportunities for bonuses on top of an hourly wage, medical benefits, 401(k) retirement savings, tuition reimbursement and room for advancement. novation now offers full-time and part-time training and work schedules. in this entry level role, you will be fully trained to perform the following duties: build and maintain rapport with customers identify customerproduct and/or service needs review and update activity on accounts provide basictechnical support promote and sell products and services attend training to update product knowledge "
1559,f,"the it audit consultant will serve as a member of the corporate audit services will be required, up to 15% annually. this position will report administratively to an it audit manager. **this person needs to have both an it and an audit background. financial auditing experience does not translate in this role. must be comfortable documenting and dealing with risk/controls. major accountabilities include but are not limited to: •work within a team environment to plan, coordinate, and execute it audit projects, ensuring high quality audit results and well-crafted audit documentation. •assist in the development of audit reports and performance of audit condition follow-up procedures. • build and maintain effective client relationships. •maintain current knowledge of matters impacting it, the energy industry, audit and the company. "
9704,f,"have you seen the new service delivery manager at squiz? here’s a little about them: our sdm works closely with our production team to manage the operational delivery of services to our clients and also acts as the key point of contact for any client escalation queries. they are across all areas of our clients’ services including service management, incident and change management, continual service improvement and customer satisfaction and are also a fantastic people person with the ability to foster strong relationships between different stakeholders. wait…could this be you? let us introduce ourselves. squiz is an australian grown, multinational software and professional services company and we work in the web engagement space. we’ve been recognised in the magic quadrant for wcms by gartner. but mostly we’re a bunch of the industry’s best that love people, innovation, and service. and we’re expanding! as a result we have a new and very exciting position within our production team in melbourne for a dynamic service delivery manager. let’s get down to the nitty-gritty. as the service delivery manager for squiz, here’s what you would be expected to do: build and foster lasting relationships with our clients; ensure successful service delivery by meeting sla targets; communicate effectively to resolve issues and develop new opportunities; anticipate and respond to client needs proactively to ensure a high level of client satisfaction; monitor the overall performance of services; generate service delivery reports and run service delivery meetings; provide change management reports to guide the operations team and ensure preparation for changes; work with the production operations team to create and manage scheduled upgrades and the necessary reports; act as the regional support contact to develop common procedures and processes to manage the ticketing system by working with our support team in hobart; communicate effectively across stakeholders ranging from production team staff to senior management and clients; monitor the overall performance of services by collaborating with regional and business managers on resource allocation and task delegation; maintain all client related records, documentation and portfolios; what we’d be looking for is: 5+ years’ experience in a similar role; technical understanding of the web space, inc. web development, server level technology, integration techniques, itil or similar formal support model understanding/expertise experience within a vendor environment, managing client and internal support ticketing; experience in negotiation, management and risk management for operational support; promotes the increased use of shared services capability; experience with zendesk, jira, or similar desirable; a people person who enjoys fostering relationships; an ability to drive processes to achieve targets; adaptability and a love for fast paced environments; excellent written and verbal communication. and to sweeten the deal, we also offer a competitive salary, laptop, career progression and more. send in your application today! "
