,fraudulent,requirements
6551,f,"experience in direct marketing or marketing analysis. excellent sql and relational database skills. outstanding sas or other statistical and data analysis tool skills. data manipulation, preparation, and presentation skills. familiarity with marketing campaign concepts and customer segmentation. experience with campaign management tools preferred. track record of on-time delivery of campaign and project deliverables. a good understanding of direct marketing and campaign management concepts.. "
5493,f,16-18 year olds only due to government funding. full time availability.
12931,f,"bachelor’s degree in-progress or recently graduated demonstrated proficiency with excel and word shine in the areas of written and verbal communication keen eye for detail, ability to manipulate and organize large data sets organizational skills must be beyond reproach "
1419,f,"administrative skills, reception experience, recruitment experience, payroll experience, good math skills"
2075,t,"qualifications personal attributes -certificate of apprenticeship or other relevant experience in mechanical industry or other relevant industry- committed to hse- good communication skills- structured- drive and enthusiasm- dedication, and willingness to drive change- team player with high sense of cooperation- english language in some departments shift work will be needed.we offer • friendly colleagues in an industry with a bright future.• an environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• competitive benefits and strong focus on work-life balance."
9124,f,what you’ll need: bachelors in any discipline is a prerequisite. a masters would be good too excellent written and verbal communications skills extremely data-focused and strong data visualization skills strong understanding of the indian market and media landscape experience with mobile marketing is an important plus passion for ensuring world-class user experience proficiency in ms- office is required 
9454,f,"2+ years of experience in the field •high school diploma/ged. •knowledge and skills in english usage, interpersonal relationships, basic behavior management. bilingual in spanish is preferred. •basic knowledge of human behavior or general mental health concepts. certificates, licenses, registrations •psychiatric technician certification is preferred, but not required •maintain current crisis prevention/intervention and american red cross cpr/first aid/aed certification. "
17630,t,"male or female · age from 18 and more · a student or someone with the formation · good skills of communications · literate in ms word, excel, powerpoint and outlook · able to work under pressure and prioritise, in a dynamic environment "
11752,t,"general qualifications: excellent communication skills is required. must have a desire to learn, work in a team environment, and have a winning attitude. experience in project controls is required: project control professional - 10+ years experience project control specialist - 5 to 10 years experience * project control tech - 1 to 10 years experience software experience: * ms project, preferred primavera a plus, but not required microsoft office excel word experience preferred: project control for small and big projects from conception to the construction. "
1132,f,"qualifications 2-10 years of experience in website or software project management. excellent communication with clients and developers. strong understanding of websites and applications, including how they operate and how to market them. strong understanding of content management systems. strong knowledge of administrative back-ends and can train others on using these tools. organized, detail-oriented and manages stress well. scrum master certification a plus. "
2815,f,"bachelor’s degree required. minimum of three years experience in leadership and administration. direct management of staff preferred. proven track record in major donor cultivation and fundraising, with proven success in producing fundraising events. experience in strategic planning, preferably in a leadership role, which resulted in improved efficiency, effectiveness and sustainability of an organization or company. experience and skills in public speaking and working with the media. experience creating and managing budgets, and overseeing finances generally. strong networking, interpersonal, and relationship-building skills. commitment to mentorship and fostering leadership opportunities for others. must be a team player. demonstrated commitment to accountability, measuring outcomes and a results-oriented culture. outstanding written and verbal communication skills. ability to work with diverse groups of people. resourcefulness, creativity and strong problem-solving skills. knowledge of partnerships, organizations and resources throughout the san gabriel valley preferred. "
13654,f,"your profile we are looking for motivatecandidates that show us: the ability to lead; the ability to architect frontend applications; good presentation skills; training and coaching skills. technically were are looking for excellent experience in: working as a full time client frontend (lead) developer (javascript, css, html); knowledge in javascript application development; building using patterns (mvc, widgets, modular); using modern js frameworks and api's; style and ux skills; providing analytical support to customer challenges and alternative solutions. "
4793,f,"general responsibilities ● conceptualize, create, manage and execute all influencer marketing initiatives through completion ensuringall aspects align with client goals. ● work closely with agencies, publicity departments, management, production houses and media toexecute celebrity/influencer seeding strategy. ● leverage influencer marketing programs on social media platforms. track social mediaengagement, create content, and increase social interaction and relevance. the talent and you ● manage national and regional events, including sponsorship activations. ● create and analyze reports + establish kpis that measure the impact of the influencer marketingprogram to better serve future strategies. ● identify new passion groups and individuals we should engage with. ● work with clients, partner agencies and 3rd party vendors on joint activities. ● work with product team to give feedback regarding features and optimizations that will driveuser/influencer growth. ● research and identify prospective influencers (including/not limited to: blogs, twitter, instagram,vine, youtube, etc.). ● help coordinate influencer communications and plan activities. ● develop and execute influencer marketing programs that drive sales and generate positive brandexposure. ● establishing contact, seed and manage influencer relationships on an ongoing basis. ● lead the influencer communication strategy and delivery of content through various mediums. ● manage talent negotiations and working closely with legal to draft talent agreements/contracts. ● activating talent against client’s goals and objective. working closely with talent to develop contentand platforms. ● maintaining talent schedule to ensure that we are aligned with timelines/ deliveries. required skills ● must have 5+ years of pr/digital marketing and/or influencer marketing experience. ● expertise in building communities and key relationships. ● knowledge and expertise in using various social media platforms. ● advanced proficiency with pr applications, keynote, ms office suite, google docs. ● keen sense of awareness of influencer/celebrity culture. ● excellent project management, organization, communication, writing and relationship building skills. ● well versed in marketing strategies across multiple categories. ● proven successes in both traditional and interactive pr channels. ● collaborative with a solutions oriented attitude and a willingness to pitch in when necessary. ● ability to work on multiple projects simultaneously with tight deadlines. ● has a clear understanding of industry standards and practices. ● strong analytic skills and ability to think strategically and applying them. ● continually working to understand the clients, their industry how we can make a difference in theirbusiness."
753,f,"essential skills and experience ● excellent excel skills; including pivot tables, graphing, vlookups, logic statements and formatting. ● adwords account management; knowledge of ppc best practice and account performance ● data analytics; able to query, extract and transform large datasets. ● website analytics and tracking systems; experience using tracking solutions with particular emphasis on url tagging to monitor performance preferred skills ● sql; creating and updating tables, joins and unions ● management of large-scale, complex adwords accounts; demonstrable experience of delivering strategies for growth and improving roi ● google analytics; up-to-date knowledge"
2185,f,- job roles skills: 1)java jaspersoft reports developer * java / j2ee* jasperreports* strong oops concepts 3) sr. java jsf developer* java / j2ee* jsf* jquery* javascript
5098,f,nann
4611,f,"essential skills and knowledge php mvc framework experience, preferably symfony2. excellent knowledge of object oriented javascript, jquery framework familiar with js frameworks (any of backbone, ember, angular, meteor etc.) experience integrating with the 3rd-party api (facebook, google, twitter etc.) any of handlebars, mustache, hogan javascript templating library knowledge ability to produce semantically correct html. css, less knowledge twitter bootstrap knowledge responsive web design fluency in english (speaking and writing) desirable skills and knowledge scss/sass knowledge ability to reverse-engineer existing designs ability to work in a fast paced and agile development environment ability to work independently and as a team member in a dynamic work environment team player who thrives in a start-up environment. your profile degree in computer science. team spirit and excellent communication skills. passionate about web-related technologies. desire for continuous learning and skills improvement. ability to acquire and learn new technologies and sharing your knowledge with the team. we use ubuntu linux - we expect you’ll do the same "
389,f,"duties responsibilities: • working on internet research projects for clients in us, building company list (as per requirements), extracting contacts for the given list from various resources available on the internet and segmenting the researched data.• finding relevant information using search-engines like google.• doing research on executive profile from respective company site.• data management• completing assigned target in given time.• worked on different projects.• ensure quality deliverables.• data analysis• secondary research• data mining• online research• qualitative market research• managing thousands of data using ms excel familiar with some databases like, factiva, linkedin, hoovers, onesource, zoominfo, reuters etchoovers, xing, bloomberg, jigsaw, zoom info, one source, linked-in, manta, reuters, and etc. "
17673,t,"skill set required: vmware esx system administration and trouble shooting thorough knowledge of vmware infrastructure very good knowledge of windows server 2003 2008 administration to an advanced level. verbal and written communication skills, problem solving skills, customer service andinterpersonal skills strong ability to work independently strong ability to troubleshoot advanced problems using available technologies and internetsupport resources migrate existing windows physical and virtual machines from obsolete versions to currentversions identify and solve compatibility issues, application functionality, and database connectivityresulting from version upgrades build and maintain windows server infrastructure in support of a mission-criticalapplications perform migrations in an isolated virtual environment, perform data backups and disaster recovery operations, diagnose, troubleshoot, and resolve hardware and software problems very good experience on server virtualization in windows environment. ability to setup and configure virtualization environment with industry standard practices. very good experience in creating, converting, managing and maintaining virtual machinesin vmware esx knowledge of vmware esx servers, vcenters, vspheres good skill in maintaining day-to-day system admin activities of vmwareadministration strong troubleshoot skills in vmware architecture good experience in setup, configure and maintain windows servers ability to analyze event logs very effectively. excellent documentation communication skills. microsoft certification mcsa or higher and vmware certification vcp or higher. ability to implement proactive measures skill of monitoring systems by various means including different monitoring application ability to follow systematic approach and industry standards in applying software updatesand security patches. fine tune virtual machines for optimal performance ability to work under pressure work closely with the other system administrators. good team spirit to work as a team and follow instructions from supervisor performs other related duties as needed upon request by the immediate supervisor good knowledge in windows server 2012 is a plus "
9006,f,3+ years of server-side java development experience.  1+ years of experience with html/css/javascript.  thorough knowledge of sql and relational database concepts. oracle preferred.  spring and hibernate experience a plus.  
12731,f,"required skills ms or phd in computer science, mathematics or machine learning (or proved working experience with machine learning specifically). hands on experience with: php, java, c/c++, python, or shell scripting. hands on experience with one machine learning software such as: r, matlab/octave, weka, vowpal wabbit, mahout. high level of curiosity and eagerness to test new solutions and always achieve better results. preferred skills previous experience in securities trading, combinatorial optimization, gradient descent or algorithmic trading. "
4315,t,"qualifications personal attributes :degree in mechanical engineering, other qualifications may be accepted depending on experienceexperience as a design engineer (or equivalent) in a product design environmentexperience with enovate equipment or relevant alternative equipmentengineering design aptitudeextensive knowledge and experience with autocadmust be adept in use of ms office 2000 or later, particularly excel, word, powerpoint and outlookproficient in the development and implementation of design procedures and processesproficient in all methods of communication (verbal, written presentation)ability to effectively coordinate a multi-disciplined team of engineers and support staffself motivated and ability to work alone unsupervisedeffective member of a teamability to produce innovative design concepts in a short time scale which meet the requirements setability to coach and mentor other members of the design team, workshop and project engineering staff"
13757,f,ideal candidate would: be fluently bilingual (english/another lang preferred) be an active user of web and mobile products be active in social media and have experience in using it for business goals produce great written content be a fast learner want to develop yourself as a sales and/or marketing professional 
3571,f,"required knowledge, skills and/or abilities excellent verbal and written communication skills; articulate and enthusiastic in verbal, written and face-to-face communications. excellent organizational and multi-tasking skills; meticulous attention to detail. strong understanding of how the public relations industry fits in with social and traditional media. high levels of creativity, with the ability to generate new ideas and to think outside the box. good understanding of the importance of tailored media communications. effectiveness working both in a team environment and independently. excellent skills in prioritizing workload and effectively managing time. strong skills in identifying pr opportunities on a proactive and reactive basis. orientation to achieving results and business goals. proficiency in technical computer skills such as ms office suite (word, excel, outlook, and powerpoint); effectively navigating and conducting research on the internet; and report-generation/writing. required education and experience: associate degree in public relations, journalism or related area; relevant experience will substitute for degree. a minimum of six (6) months in a similar pr role (in-house, agency, internship or co-op). other responsibilities: local travel to media events required as necessary. "
17693,t,must have computer ability must have a great attitude must be very motivated and teachable.
10953,t,3+ years in the recruiting and/or staffing industry 3+ years in a technical role experience working with executive-level tech candidates and/or clients entrepreneurial minded quick on your feet passion for tech startups bachelors degree or greater 
4929,f,nann
5584,t,"minimum requirements qualifications • minimum 10 years related experience within the architectural/engineering/construction professional practice. • proficient in using revit and autocad. • basic understanding of most major engineering systems. • complete understanding of the design and documentation tasks associated with the production of engineering construction documents. • general understanding of various regulatory and building codes. • ability to take responsibility for given tasks with limited supervision. • effective oral and written communication skills. education: bachelor’s degree in engineering from an abet accredited school; registered professional engineer, or licensed structural engineer, in at least one state by examination (8 hours fe and 8 hours pe). ncees registration a plus."
17681,t,"qualified applicants should have a bs manufacturing or mechanical engineering preferred with a minimum of 3 years experience. solidworks, process improvement and qa experience a plus."
14194,f,"skills excellent people skills! you love to meet new people, and making guests feel welcomed and comfortable is your forté. you have a great telephone manner, and the ability to filter the good callers from the bad. you are punctual and presentable. you love to be highly organized and and are proactive when there are quiet days. you take pride in being the first point of contact for a bustling digital product studio. nice to have previous experience in reception duties. impeccable written and verbal communication skills. responsibilities be the first point of contact for visitors to the studio, providing a welcoming and comfortable experience for guests. answer and manage all phone calls, passing client calls through to relevant ustwobies and screening sales and recruitment taking ownership of the social space and meeting rooms, including house keeping, management and assisting with any event set ups. greet all arriving guests, welcoming them at reception, guiding them to waiting area and offering drinks. collect, sign for and distribute post. stock control and order for food, drinks and beer. replenishing fridges and cupboards when stock is low. running errands outside the studio when required. assisting studio manager on event planning and occasional travel booking. assisting the studio management team on an ad hoc basis. character requirements you have passion and hunger detail oriented, well organized and self motivated you need to take personal pride in the smooth running and presentation of the studio you are outgoing, personable, sociable and easy going you are always ready to learn and to share knowledge you can deal with pressure and can work in a fast paced environment "
6984,t,"the selected candidate must demonstrate the following competencies: • organization: must be able to marshal resources, can organize multiple resources at once to accomplish a goal. uses resources effective and efficiently and arranges information in an organized manner.• business acumen: has in depth knowledge of how businesses work particularly in the areas of human resources. is aware of future policies, practices or trends in human resource business processes or information technology. knows how strategies and complex industries work. • conflict management: steps up to conflict and see’s opportunity in them. reads situation’s quickly and is good at focused listening.• organizational agility: knowledgeable about how organizations work. knows how to get things done formally and informally. understands the philosophies behind key policies in organization and understands the culture of organizations.• strategic agility: sees ahead clearly and can anticipate future consequences and trends accurately and has broad knowledge and perspective.• political saavy: can negotiate through complex political situations effectively and quietly and is sensitive to how organization function.• negotiation: can negotiate skillfully in tough situations with both internal and external groups. can settle differences with minimal noise and make concessions without damaging relationships.• integrity and trust: is widely trusted and is seen as truthful. presents unvarnished truth."
5092,f,"key responsibilities: create and support the development of concepts and ideas assist the public inc team in strategic and creative development supporting the chief experience officer and senior art direction teams in the development of core creative services disciplines (branding, design, information architecture, experience design, broadcast/branded content, production and copywriting) directly contributing to project design and development reviewing and providing quality assurance of all creative deliverables building and maintaining relationships with clients, partner agencies and vendors contribute to the innovative development of the creative department support in new business pitches and new business ideas prepare and assist in the development of client presentations adapt creative and production files to support client and agency needs creatively contribute to the constant evolution of public inc products comprehensive understanding of trends in design, social media and integrated advertising campaigns required skills: strong design portfolio with 3+ years education, 1-4+ years design and interactive work experience experience working within a team of designers, production specialists and writers to creative excellence. well-developed communication skills – across small intimate rooms and large group settings ability to think strategically and creatively in a fast paced environment experience with strategic brainstorming, campaign development, creative brief development and creative execution ability to work on multiple projects simultaneously with competing deadlines acute attention to detail within demanding deadlines a solid working knowledge of the latest versions of mac os, indesign, photoshop and illustrator expert typography skills and broad stylistic design approach comprehensive understanding of interaction and ui design committed to constantly evolving your strategic and creative skills ability to rationalize concepts to clients and team members conceptual sketching and mood boarding highly creative and motivated passionate and dedicated to creating wide spread social impact mandatory: pdf portfolio and current resume "
14128,t,"no requirements, apply if you are in the force as well,"
13719,f,16-18 year olds only. full time availability.
13211,f,"organized / professional / multitaskermastery of written and verbal communication - english greeksoftware: e-mail, excel, word and powerpoint. particular emphasis on email and excelintegrity – honesty and consistency of characteradaptable to shifting priorities and very good time managementcollaborative and team-oriented"
5687,t,"an ambition to succeed, a desire to be the best at our field and not be discourage when people turn you down. if you have these qualities than you are perfect for this business"
14154,t,"applicants should have a computer with internet access and have basic computer and typing skills, ability to spell and print neatly, ability to follow directions"
4874,f,"a background in commercial copywriting experience writing for the web editing/proofreading skills ability to grasp, execute and improve a brief adaptable, concise and confident communication skills - both written and verbal ability to create a call to action, without it being shaped like a sledgehammer highly organised and methodical with excellent attention to detail you’ll know what makes copy sharable, clickable actionable a collaborative approach to work - we’re looking for someone who likes working with others "
3668,f,ability to lift up to70 lbs must be patient cpr/first aid cna preferred able to pass criminal background valid state id fingerprint clearance card or ability to get per client preference you must be a non-smoker preference will be given to those who have cna/hha certifications reliable transportation we need reliable people who will not call out on shift. please do not apply if you have a history of calling in or do not meed to requirements. thank you.
16870,f,are you a top closer in your market? are you a go-getter and able to market for new clients? are you a dedicated customer service oriented title professional? if you answered yes to these questions then we want you! experienced title settlement closer must have a client following/book of businessand ability to market knowledge of ramquest a plus notary public or be bondable 
5577,t,"skill set required: very good knowledge of all enterprise san/nas solutions including but not limited toemc, isilon, ibm, dell, hp and netapp technical knowledge on installing, configuring, and supporting enterprise-class disk, tape,and san switching systems (emc / ibm / mcdata/brocade expertise) preferred good experience with enterprise fiber channel and ethernet storage networks (san) expert scripting skills in one of the following languages (ksh/bash/perl/sql) expert in data storage protocols including cifs, fc, fcoe, iscsi, and nfs knowledge of tcp/ip networking dns, ldap, nfs, smtp, linux account management extensive knowledge of storage in highly virtualized vmware environments knowledge of linux and windows operating systems hands-on storage management and troubleshooting experience. experience in designing and deploying complex storage area networks experience working in a team-oriented, collaborative environment preferred competent skill set in: backup, recovery, and archive; storage availability; storagemanagement; content/information management; systems integration required. demonstrated knowledge of san, nas, das, raid, scsi, and fiber channeltechnologies preferred. solid skills in windows 2008 servers, linux and/or unix operating systems required. perform storage allocation and file system management such as zoning, lun sizing, raidimplementations, volume configuration and allocation activities support daily storage issues and changes including disk space, backup and recovery,monitoring logs support change requests received for all storage administration setup alerts and resolve storage system performance issues experience working in large multi-tier storage environments experience with data migration, data consolidation and virtualizing storage excellent knowledge in storage and backup technologies good experience in provisioning and supporting virtual desktop or server environmentslike vmware excellent oral and written communication skills and customer service skills a team player with a positive attitude and excellent interpersonal skills. ability to understand and comply with business processes and procedures. familiarity with industry standard lan/wan standards required. any other storage certification is a plus windows administration skills a plus "
843,t,"knowledge of basic computer operations willingness to rotate shifts, as needed ability to learn courteous with strong customer service orientation dependable with proficient attention to detail must be flexible with the ability to adapt to changes quickly and think conceptually possess insight into self and others solid problem solving skills some technical knowledge excellent customer service skills strong written, verbal and organization skills superior time management and prioritization skills proficiency with navigating through multiple systems typing skills excellent listening and respondingskills ability to learn on the fly, listen and apply problem solving skills minimum of high school diploma / ged "
2622,f,skill:- help desk - tsr
17606,t,"the responsibilities of this role will include:- monthly reporting - administrative duties involved with accounting- finalising credit applications - other tasks as requested by management as the assistent accountant you will be primarily responsible for providing support to the financial assistant, requirements: • possible without experience • must be self-sufficient • computer skills (microsoft excel,word and outlook) • an ability to handle multiple tasks"
7680,f,"· 2-3 years experience in a customer-facing role, preferably ecommerce. · outstanding organization, preparation and communication skills. and time management? you’ve got that covered, too. · cheerful under pressure, curious, thoughtful. you’re willing to go the distance. · exceptional writing and research skills. · comfortable with the realities of working for a start-up. · have a great sense of humor and know when to show it. · familiar with the voice of food52 and our aesthetic."
4695,t,"position qualifications bachelor's degree in accounting or finance -5 y e a r' s accounting experience - knowledge and interest in business/economic s (emphasis in oil and gas, chemical, nuclear and renewable energy industries)"
14533,f,"requirements ba / bs from a top school high energy, personable with a knack for customer relations creative and innovative marketer excellent oral and written communication skills analytical, data driven decision-maker preference given to those with a background or degree in marketing comfortable with faith-based organizations "
9583,f,"you should be passionate about: javascript – including jquery, angularjs, twitter bootstrap and cross-browser compatibility html/css – not a web designer, but extremely good at implementing given designs html5 fanciness (e.g. websockets, canvas) ability to lead projects end-to-end and, you’ll get some bonus points for familiarity with: ruby on rails async (e.g. , ) cloud application platforms (e.g. heroku) test driven development (tdd) amazon web services (aws e.g. ec2, s3, cloudfront) sql and nosql databases (postgresql) "
12817,f,"must adhere to safety policies and procedures. 5+ years experience installing fiber ability to work at elevations. ability to work outdoors and in inclement weather conditions. must be willing to respond to emergency calls 24 hours a day. arizona driver’s license required at time of hire. successful candidates must pass government background check, driver’s license check, and drug test."
2978,f,"degree in psychology, hci, computer science, design, social sciences or related disciplines proven track record of running user research projects for web and mobile (ios / android) hands-on experience applying qualitative and quantitative research methods work experience in a lean or agile environment strong analytical skills great team player easy to work with well written and spoken english strong communication and documentation skills understanding of modern web and mobile technologies, usability principles and design trends "
6349,f,"responsibilities: conduct competitive and keyword research for new campaign builds or mods assist with traffic estimates for new campaigns and annual planning provide technical creative feedback to digital marketing coordinator (dmc) and creative teams to ensure campaigns launch effectively with goals and objectives in mind participate in weekly meetings with account and digital management teams own campaign performance monitoring and utilize data to optimize campaigns own day-to-day optimization for bid management, a/b testing, extensions, settings (device, scheduling, locations, ad rotation, etc.), budgets, exclusions, keywords (sqr – negatives, additions) build campaigns, ad groups, and keywords perform quality assurance checks on new builds generate and implement url tracking parameters as required own campaign reporting and analysis as set forth by client and account management complete budget tracking worksheets build and format reports/data for analysis work with account management on kpi, goal and objective reviews, optimization suggestions and campaign improvements work with digital marketing coordinator (dmc) to ensure creative assets and campaign requirements are finalized maintain working relationships with all vendors / ad networks and utilize as extension of resources assist account management with client facing meeting preparation, conference calls and education/training hard skills: 1+ year of experience in paid search, media buying or other paid media roles excellent oral and written communication skills, with an emphasis on grammar and copywriting extreme attention to detail and strong organizational skills with experience prioritizing multiple deadlines ability to prioritize and manage multiple tasks simultaneously in a fast-paced working environment strong excel skills including quantitative and qualitative analytical skills google analytics a plus google adwords / bing ads certified soft skills: dedication to delivering a high level of service efficient systematic approach, excellent time management must be able to work effectively as an individual as well as within a team high level of initiative"
17678,t,"interested persons should possess a minimum of a college diploma and must have at least 6 months working experience. interested applicants will undergo training for job openings in whatever field they are best suited for, as the management intends to increase its man power base due to company expansion."
9233,f,nann
16793,f,"java/j2ee web application development (servlets, jdbc, rmi, jms, javabeans, etc.) experience with services based architecture and rest-based apis good understanding of web fundamentals such as http, html, css, js. object relational mapping frameworks, such as jpa, hibernate, or openjpa experience using databases: oracle, db2, microsoft sql server, and/or mysql and experience with non-relational databases is a plus. at one least one of the following java application servers: apache tomcat, bea weblogic, ibm websphere, and/or jboss knowledge of test driven development principles and practices. build tools such as maven or ant and version control systems such as git knowledge of software design patterns cq experience is a plus "
17752,t,no requirements!
2930,t,nann
17663,t,nann
5672,t,"skills necessary - 5+ years architecting, designing and implementing with and c - 5+ years developing web user interfaces using html, ajax, css, json, javascipt and jquery - 5+ years designing database schemas and t-sql programming - demonstrated experience in developing large-volume, high-traffic, highly scalable server based systems a plus - entrepreneurial with background in consulting a plus "
17790,t,totally free to join suitable for all.
17578,t,nann
15037,f,"independent licensure minimum of 3-5 insurance panels required (aetna, bcbs, cigna, ubh, and amerigroup preferred). willing to offer credentialing assistance for the right candidate. "
1283,f,"required skills: degree in computer science or software engineering excellent understanding and practical experience of c .neturl_01a736d89d2f0b19de700923d2c312837e180465650804d0f84105352812bf9a(visual studio 2005,2008,2010) c .net compact frameworks javascript jquery sql server json css wcf/rest/soap web services ability to quickly learn new technologies personal characteristics: strong analytical problem solving skills ability to work effectively as part of a team highly self-motivated and methodical, with attention to detail "
7182,f,"required skills and experience: good understanding of sip is must 9 (3+ years of experience in sip/voip domain) strong analytical communication skills and resourceful in issue resolution pbx knowledge good understanding of ims, pcscf icscf scscf knowledge on ss7, in cs-1/2, camel, sms, mms, transcoding media handling strong debugging skills with expertise on tools like gdb, wireshark, valgrind, purify, coverity and various memory management tools knowledge in redundancy, fault detection recovery, overload control and handling expertise in voip networking protocols like sip, sdp, rtp, srtp, h.323, sip call processing and state machine, offer/answer model, ip, tcp, udp, tls, ipsec desired skills and experience: freeswitch asterisk microsoft speech server voice recognition speech-to-text experience with cisco uccx and/or avaya pbx is a plus "
13084,f,"requirements:-bilingual candidate must be fluent and have a high level of comprehension in both english and spanish.-requires the ability to use technical analysis and investigative techniques.-must have working knowledge of customer service systems, work order management systems and product and program applications knowledge to resolve inquiries.-must demonstrate excellent interpersonal and communication skills and work well in a team environment.-must have working knowledge of personal computer applications (specifically microsoft office excel).-must utilize expert accounting skills for auditing system-generated reports against vendor invoices. -possesses and acts with a high level of integrity.-projects a confident, professional image.-collaborates effectively with others to achieve team results.-embraces change and shifts work assignments and schedules as required to meet customer and business needs.-demonstrates personal openness to innovative ideas while respecting diversity and valuing the opinions of others.skills: - demonstrates strong organizational/planning skills with ability to multi-task- demonstrates ability to work in a team setting and contribute to team goals- demonstrates effective written/verbal communications and interpersonal skills- demonstrates strong customer service focus / orientation- demonstrates the ability to work with microsoft office products, specifically strong excel skills- demonstrates strong attention-to-detail skills- demonstrates flexibility- demonstrates analytical thinking-​basic knowledge of electrical theory, hvac systems, low voltage control circuits is also preferred.-high school diploma or ged equivalent required. two-year post high school, specialized trade, technical school or college preferred. minimum of one-year experience required, one to three years preferred."
2267,f,"requirements: 3+ years marketing experience running ppc adwords campaigns (£100k+ budgets) proven track record of planning, building and optimising large scale, complex and successful ppc campaigns excellent excel skills and exceptional level of numeracy qualified to degree level (preferably maths ormarketingbased) ability to establish measurement criteria and processes to evaluate campaign roi is essential high attention to detail, ability to effectively manage multiple projects, along with a strong desire to learn strong communication skills both written and verbal (comfortable over the phone) willingness to work in a team environment "
5566,t,nann
9084,f,"certified advocate or be willing to train and attend the mn victims academy bachelor’s degree in related field and/or professional training, demonstratedability to communicate fluently in american sign language and othercommunication modes. "
12715,f,"here are our firm requirements for the role: at least 3-5 years of professional interaction design experience. knowledge of basic usability heuristics, relevant interaction design literature, and best practices for interaction design. enough technical experience to comfortably express and react to the technical and user interface limits of mobile and touch interfaces. substantial experience interfacing directly with a client. high quality, updated work available to show us (pdf portfolios are okay).please attach this to your initial application. understanding of agile development principles and willingness to work in an iterative design process (you work fast and can take criticism). strong written and verbal communication with the ability to present your work and rationale to the team. expert level knowledge of relevant industry tools. we consider these things awesome, but not absolutely required: experience conducting user research. visual design skills (typography, illustration, layout). basic html, javascript and css skills (for prototyping). "
17577,t,"skills/qualifications: reporting skills, administrative writing skills, microsoft office skills, managing processes, organization, analyzing information , professionalism, problem solving, supply management, inventory control, verbal communication"
4421,f,nann
17830,t,"job requirements• high school diploma or equivalent• excellent communication and organizational skills.• ability to work a flexible schedule• ability to perform mathematical calculations such as addition, subtraction, multiplication, division, and percentages."
12648,f,nann
10264,f,"minimum requirements: minimum of 6 months customer service related experience required high school diploma or equivalent (ged) required preferred qualifications: keyboarding and windows environment pc skills required (word, excel and powerpoint preferred) experience running mail posting equipment a plus excellent communication skills both verbal and written lifting up to 55 lbs with or without accommodations willingness and availability to work additional hours if assigned willingness to submit to a pre-employment drug screening and criminal background check ability to effectively work individually or in a team environment competency in performing multiple functional tasks ability to meet employer's attendance policy "
1995,t,"skills/requirementssome customer support experience preferred, but will train the right candidateminimum high school diploma or equivalentability to multi-taskpositive attitude and friendly telephone demeanorprofessional written and communication skillsbasic knowledge of computers"
3334,f,"ba/bs in computer science or related field 4+ years of experience developing ios apps. experience leading teams (ios teams desired) and working with agile methodologies (scrum preferred) proficient in objective-c and any other object oriented programming languages (c++, java, smalltalk, etc, etc) working knowledge of compiler settings, uikit, coreanimations, instruments, advanced core date knowledge and advancedunderstanding of gcd (grand central dispatch) and when to use it experience usingopen source frameworks such as restkit and using version control repositories, such as git. must know most of the common designs patterns (gang of four), or at least the ones used on objective-c. experience with continuous integration (jenkins, teamcity, others) and ota (testflight, hockeyapp, etc etc…) must have excellent problem solving skills and love technical challenges must be able to take initiative to be productive and efficient "
7202,t,"* must have a passion and love for food* excellent communication skills both written and oral* public relations skills* excellent management and organizational skills* works well under pressure* good attention to detail experience: previous experience with control food and labor cost, demonstration cooking, menudevelopment, and pricing and development of culinary team preferred. premise andliability accountability and contract-managed service experience is desirable. education: the ideal candidates will possess a bachelor's degree or related culinary degreewith four or more years of industry and culinary management experience."
9830,f,"requirements: 5 years experience in data relevant field outstanding analytical skills, excellent team player and delivery mindset experience in leading and building data analysis reporting systems for internet companies at scale good overview of concepts, architecture and tools for data analysis, processing etc. technical project management experience ideally also as product owner excellent stakeholder management skills experience in cloud-based environments (aws) agile development experience (scrum, kanban) optional: know-how in mobile campaign tracking "
